Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland E
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   47.6   77.5   95.1  165.2  158.6  150.2  185.7  122.2   93.4   88.0   55.0   38.9   170.4   418.9   458.2   236.4  1277.5
1953   45.6   67.9  143.9  144.7  159.9  133.4  110.9  144.0   99.1   72.7   45.8   41.4   152.4   448.5   388.3   217.7  1209.4
1954   35.2   53.3   82.5  171.6  146.4  127.2  127.2   93.9  124.0   76.3   51.0   32.6   129.9   400.5   348.3   251.3  1121.2
1955   38.7   70.8  116.2  171.1  205.0  173.2  253.7  162.7  135.0   87.1   54.3   36.9   142.0   492.3   589.6   276.5  1504.7
1956   48.0   52.4  107.9  160.5  187.2  167.8  159.3  112.1   79.9   98.6   45.7   21.6   137.3   455.6   439.2   224.1  1240.9
1957   44.9   80.1   64.5  152.5  182.2  229.8  102.4  112.7  107.2   73.8   39.0   46.8   146.5   399.2   444.9   220.0  1235.9
1958   44.7   49.6   88.5  133.6  174.1  113.7  151.8  109.9  118.8   99.9   44.7   36.8   141.1   396.3   375.4   263.3  1166.1
1959   68.1   59.8   84.7  130.4  184.9  177.0  160.8  146.8  148.2   99.5   46.6   20.7   164.6   399.9   484.5   294.2  1327.3
1960   39.1   93.2   71.1  128.1  184.9  206.7  132.7  129.0  118.4   37.0   52.5   42.0   153.0   384.1   468.4   207.9  1234.6
1961   36.4   70.8  108.5   98.9  173.6  151.8  114.6  143.4  103.7   84.7   62.1   40.4   149.2   381.0   409.8   250.5  1188.9
1962   55.1   69.3  106.0  173.5  154.4  177.5  133.2  146.4   64.2   77.9   39.4   38.9   164.8   433.9   457.1   181.5  1235.8
1963   45.2   86.2   95.9  130.2  182.6  150.6  149.6   89.1  132.3   86.4   41.4   35.7   170.2   408.8   389.3   260.1  1225.3
1964   44.2   66.9   47.5  115.2  162.8  169.2  158.9  128.1  121.1   69.9   55.8   36.4   146.8   325.5   456.3   246.9  1176.2
1965   53.2   52.1  101.0  166.7  122.6  141.1  114.8  143.1   70.2   76.8   59.2   36.5   141.7   390.3   399.0   206.3  1137.4
1966   25.3   37.3  117.3  105.6  191.2   95.2  173.7  116.3   97.0   70.3   49.0   41.2    99.1   414.1   385.2   216.3  1119.3
