Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SE and Central S
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   87.9   83.2   93.5  174.8  220.2  235.4  208.0  188.5  142.6  104.2   66.0   61.4   226.1   488.5   631.9   312.8  1665.9
1953   37.6   69.8  136.8  178.4  229.2  174.1  201.2  233.4  172.8   95.1   49.5   34.3   168.9   544.4   608.7   317.4  1612.2
1954   71.1   60.7  106.1  203.0  167.2  156.6  148.5  145.5  162.2   92.9   58.6   50.6   166.1   476.3   450.6   313.7  1423.0
1955   32.2   85.9  160.4  177.9  216.7  172.5  252.6  204.7  158.0  122.7   54.2   38.8   168.7   555.0   629.8   335.0  1676.7
1956   58.2   76.4  150.2  159.9  250.7  148.4  178.6  171.3  111.9  114.8   71.7   17.6   173.4   560.8   498.3   298.4  1509.7
1957   56.1   74.2  106.2  170.7  215.8  293.5  169.2  174.2  112.9   98.9   67.1   57.0   147.9   492.7   636.9   278.9  1595.8
1958   47.7   45.2  112.2  156.6  197.2  152.3  198.1  125.4  138.4  101.8   51.7   33.7   149.9   465.9   475.9   291.8  1360.3
1959   84.8   66.2  111.5  150.0  232.2  238.9  286.6  234.3  224.4  155.2   61.9   33.4   184.7   493.6   759.9   441.5  1879.4
1960   39.9   87.1   82.4  163.1  180.6  251.4  162.2  164.3  132.9   81.8   73.5   50.8   160.4   426.1   577.8   288.3  1470.0
1961   50.9   66.0  167.7   97.5  231.3  244.0  198.1  175.3  133.5  128.7   64.2   69.6   167.7   496.5   617.3   326.5  1626.8
1962   58.3   77.8  123.0  145.7  165.7  268.6  148.4  176.4  148.8  126.3   35.4   84.4   205.7   434.3   593.4   310.5  1558.8
1963   62.3   77.8  108.8  125.5  198.6  188.2  205.7  153.9  125.2   78.2   60.1   47.8   224.5   432.8   547.7   263.6  1432.0
1964   36.7   57.8   67.9  135.1  196.1  169.5  210.2  207.2  211.1  132.0   54.8   49.7   142.3   399.1   586.9   397.9  1528.1
1965   68.1   42.3  133.8  139.0  184.2  176.1  127.2  184.7  132.2  137.2   87.6   59.0   160.1   457.0   488.0   357.0  1471.4
1966   35.8   32.5  131.0   93.8  223.7  209.9  159.5  191.9  163.5   79.0   56.2   36.0   127.3   448.5   561.3   298.8  1412.8
1967   61.9   87.1  166.7  145.7  187.6  217.8  241.8  179.4  119.8   98.2   76.4   54.2   185.0   500.0   639.0   294.4  1636.6
1968   42.4   74.0  142.3  179.7  174.2  180.8  159.7  126.2  132.8   67.9   47.1   32.6   170.6   496.2   466.7   247.8  1359.6
1969   33.2   72.3   70.6  201.7  166.3  259.6  227.7  163.9  116.1  120.9   79.9   26.9   138.1   438.7   651.2   316.9  1539.2
1970   32.1  107.0  111.5  125.5  212.5  259.3  190.9  188.5  160.4  107.9   60.7   47.2   166.0   449.6   638.7   329.0  1603.5
1971   43.0   75.3  111.3  133.7  230.4  155.0  246.7  143.1  185.6  145.9  100.1   30.9   165.5   475.4   544.8   431.6  1601.0
1972   36.8   40.6  158.8  142.7  170.5  171.1  170.0  196.0  131.7  108.6   78.3   55.5   108.3   472.0   537.1   318.6  1460.6
1973   33.5   77.0  147.8  148.4  175.9  248.9  180.2  197.5  173.4  107.2   90.5   56.9   166.0   472.1   626.5   371.1  1637.2
