Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland W
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   46.8   69.6  106.1  149.2  179.2  155.6  175.5  120.8  118.1   91.8   72.4   32.7   146.3   434.5   452.0   282.4  1317.9
1953   37.0   63.9  113.0  156.4  189.5  177.1  117.8  135.5   82.1   68.4   28.4   34.0   133.5   458.9   430.4   178.9  1203.1
1954   44.6   48.2  108.3  178.3  164.2  142.1  109.6  111.6  104.7   57.5   43.6   15.2   126.8   450.7   363.3   205.8  1127.8
1955   38.0   89.7  132.8  166.9  231.3  152.6  266.8  184.5  119.6   82.4   48.8   36.9   142.9   531.0   603.8   250.8  1550.3
1956   39.7   61.1  127.6  185.1  187.2  185.8  137.0  126.8   84.6   83.7   49.2   12.4   137.7   499.8   449.6   217.6  1280.1
1957   41.0   75.9   52.9  182.4  206.2  271.9  125.4  120.4  112.7   51.5   40.2   36.5   129.3   441.5   517.8   204.4  1317.2
1958   44.4   49.8  100.5  136.1  187.5  120.5  169.4  114.3  113.8   61.9   33.8   29.8   130.8   424.1   404.2   209.6  1161.9
1959   69.0   48.6   88.6  119.3  225.4  177.5  135.7  147.6  136.5   96.1   39.5   18.6   147.3   433.4   460.7   272.1  1302.3
1960   42.2   92.3   87.2  140.2  185.2  232.2  124.8  156.8  134.8   65.9   56.2   36.1   153.1   412.6   513.8   256.9  1353.9
1961   45.0   55.6   74.7  101.0  190.5  136.4  114.0  131.6   95.0   83.2   54.6   39.8   136.7   366.1   382.0   232.8  1121.3
1962   38.4   70.3  103.6  197.3  185.0  172.7  137.2  132.9   76.3   76.7   36.3   37.9   148.5   485.8   442.7   189.4  1264.5
1963   63.2  103.7   97.2  121.9  189.8  170.4  162.6   96.9  120.2   66.2   43.5   35.3   204.9   408.9   429.8   229.9  1270.8
1964   36.1   62.4   66.2  111.2  159.7  150.5  117.9  136.8  116.0   68.3   47.7   35.3   133.7   337.2   405.2   232.0  1108.0
1965   62.0   69.4  105.7  151.2  138.3  140.7  139.9  140.7   74.3   85.3   73.5   41.8   166.7   395.2   421.4   233.2  1223.0
1966   30.5   31.1  101.3  112.0  197.4  103.7  179.7  142.8   83.2   78.2   57.8   28.2   103.4   410.7   426.2   219.1  1145.9
1967   44.3   57.3   89.4  137.2  133.6  201.7  105.5  132.2   96.5   82.5   45.9   48.1   129.9   360.2   439.5   224.9  1174.3
1968   29.7   81.0   85.2  165.8  146.6  196.1  133.2  171.6  100.0   51.6   51.1   31.4   158.9   397.6   500.9   202.8  1243.5
1969   26.0   71.8   93.6  173.5  133.7  209.9  153.2  159.2   99.1   68.8   50.5   30.3   129.3   400.9   522.3   218.4  1269.7
1970   25.2  102.1  124.4  132.8  127.3  218.0  102.5  152.6   81.8   71.7   48.7   42.3   157.6   384.5   473.1   202.2  1229.4
1971   28.7   44.2   82.9  140.7  200.4  163.5  196.0  115.0  126.2   89.5   53.4   26.3   115.2   424.0   474.5   269.1  1266.8
1972   36.1   50.6   95.0  146.9  137.4  157.1  180.0  142.6  135.1   98.1   49.0   21.7   113.0   379.4   479.7   282.2  1249.7
1973   23.0   71.7  112.6  160.6  144.6  161.0  147.6  135.3  107.9   85.8   56.2   33.7   116.4   417.8   443.9   249.9  1240.1
1974   26.5   49.9   92.6  204.1  174.3  211.0  135.8  133.5  105.1   89.0   49.8   24.5   110.2   471.0   480.3   243.9  1296.2
1975   25.5   80.2  123.8  128.7  263.7  237.4  161.1  162.3   99.5   64.6   53.8   35.2   130.2   516.2   560.9   217.9  1435.8
1976   39.6   35.6   78.9  138.8  124.7  156.6  191.0  240.4   92.9   64.2   55.8   44.8   110.3   342.3   588.0   212.9  1263.2
1977   48.9   62.1   67.7  141.6  221.7  216.7  199.9  182.1   90.3   74.1   61.6   33.1   155.9   431.0   598.8   226.0  1399.9
1978   47.8   77.7   78.3  117.5  198.4  163.3  155.9   92.8   76.5   73.9   41.5   28.5   158.7   394.2   412.0   191.9  1152.1
1979   46.3   80.4   93.9  126.5  162.0  166.1   98.7  138.2  116.0   61.7   45.1   38.1   155.2   382.4   403.0   222.8  1173.0
1980   38.2   35.7   84.5  180.4  254.7  114.3  116.1  104.1   73.2   75.2   49.3   24.6   112.0   519.7   334.6   197.7  1150.5
1981   31.1   63.1   86.1  191.2  145.2  134.1  125.6  156.2  100.4   91.4   41.5   38.2   118.7   422.5   415.9   233.3  1204.1
1982   38.6   52.7  116.4  156.4  194.0  150.0  184.7  123.4   90.8   58.8   38.9   31.5   129.5   466.7   458.0   188.6  1236.1
1983   26.1   74.8   54.1  139.7  120.9  152.9  178.2  175.9   77.7   59.4   47.3   25.7   132.3   314.7   507.0   184.4  1132.6
1984   33.5   46.3   61.2  180.8  229.2  151.5  214.2  177.8   87.5   65.9   39.8   27.2   105.4   471.1   543.5   193.1  1314.7
1985   49.7   74.6  104.5  118.8  170.1  171.6  102.4   98.5   72.0   82.0   56.8   25.7   151.6   393.4   372.5   210.8  1126.7
1986   36.4   75.8  107.5  129.0  134.1  186.7  109.6  138.1  143.0   84.4   43.6   26.5   137.9   370.7   434.3   271.0  1214.7
1987   42.6   64.9  100.6  113.9  197.4  127.8  138.3  137.7  142.1   80.8   49.6   32.3   134.0   411.9   403.8   272.5  1228.0
1988   38.2   66.5   75.1  121.0  199.4  199.2  105.6  123.3  104.1   76.6   67.5   23.8   136.9   395.6   428.1   248.2  1200.4
1989   28.3   59.4   88.6  136.2  223.6  190.9  255.1  118.4   99.0   68.2   70.3   41.8   111.5   448.5   564.5   237.5  1379.9
1990   28.8   40.0   69.8  149.7  211.3  138.3  209.4  113.0  104.7   58.7   73.9   31.6   110.5   430.7   460.7   237.3  1229.1
1991   41.1   72.4   78.0  149.4  172.6  141.6  147.0  138.0  155.3   65.6   49.4   20.4   145.1   400.1   426.6   270.3  1231.0
1992   42.7   48.8   70.2   83.1  215.2  177.3  116.9  136.5   86.4   86.1   36.9   25.6   111.9   368.5   430.7   209.4  1125.7
1993   24.9   32.6   89.6  108.0  142.8  114.4  108.8  144.5  105.8   95.3   51.7   27.5    83.1   340.4   367.7   252.8  1045.9
1994   32.3   51.6   73.7  131.4  184.2  120.6  146.7  136.7  108.0   71.2   32.9   27.0   111.4   389.4   404.0   212.2  1116.5
1995   41.5   53.9   83.9  145.2  169.4  245.9  173.3  232.5  116.1   65.4   53.6   50.1   122.4   398.5   651.7   235.1  1430.8
1996   20.7   85.6   74.5   92.0  172.3  216.1  147.4  139.7  146.4   63.9   69.7   42.3   156.4   338.8   503.1   279.9  1270.4
