Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England NW and N Wales
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   52.0   76.0   92.8  137.7  176.8  165.1  140.4  141.5   93.8   95.4   66.5   33.6   164.2   407.2   446.9   255.7  1271.4
1953   34.0   51.2  133.7  174.4  202.3  160.5  161.1  156.9  110.8   96.0   41.5   28.2   118.7   510.5   478.5   248.3  1350.6
1954   41.3   55.4  106.0  185.1  146.8  131.9  105.5  103.6  133.6   59.4   49.4   24.1   124.9   437.9   340.9   242.4  1142.1
1955   33.9   74.5  149.2  153.4  192.1  142.9  289.0  211.8  136.5  101.3   54.3   31.8   132.5   494.7   643.7   292.2  1570.7
1956   45.0   75.9  132.7  159.1  226.0  159.6  137.5  127.3   89.8  104.5   46.6   19.1   152.7   517.7   424.4   240.9  1322.9
1957   37.3   77.3   82.7  153.4  201.1  283.8  117.7  117.3  100.7   70.3   52.5   47.5   133.7   437.3   518.8   223.5  1341.7
1958   43.0   53.6  105.6  142.5  153.4  131.3  149.8  115.2  104.6   73.0   38.6   29.9   144.1   401.4   396.3   216.1  1140.4
1959   70.5   59.5   86.4  122.5  223.9  216.2  195.5  183.8  177.2  114.7   41.4   22.2   160.0   432.8   595.5   333.3  1513.8
1960   34.7   72.9   80.3  158.1  184.1  250.6  140.4  151.1  124.8   64.4   46.4   50.2   129.7   422.5   542.1   235.6  1358.0
1961   36.8   57.3  106.8   91.7  192.1  181.7  132.5  160.1  117.9   94.0   60.1   52.6   144.3   390.7   474.3   272.0  1283.6
1962   49.5   62.6  121.1  168.6  171.2  194.4  122.6  132.0   86.0   97.0   45.4   57.0   164.7   460.9   449.1   228.4  1307.5
1963   65.6   94.8  102.7  107.5  178.9  186.2  161.1  112.0  138.5   79.7   44.6   48.1   217.4   389.1   459.4   262.9  1319.9
1964   42.7   59.5   63.9  112.6  173.7  130.1  143.1  169.5  144.4   94.0   60.1   44.9   150.3   350.2   442.7   298.5  1238.4
1965   54.9   37.3  124.1  149.6  144.4  177.3  120.6  161.9   83.1  112.4   71.1   43.0   137.1   418.1   459.9   266.5  1279.6
1966   35.5   36.1   94.8  100.2  211.7  137.3  169.3  145.9  124.0   83.0   44.8   33.3   114.6   406.7   452.5   251.8  1215.8
1967   51.8   66.5  124.0  108.5  136.2  220.8  160.9  138.7  112.9   78.7   60.6   50.9   151.5   368.7   520.4   252.2  1310.4
1968   28.7   85.1   93.6  168.9  148.2  200.6  141.0  162.9  101.5   50.6   49.5   37.2   164.8   410.7   504.5   201.6  1267.8
1969   25.4   55.4   83.6  181.7  124.7  238.5  182.0  135.2   84.2   92.8   64.2   30.4   118.0   390.0   555.7   241.3  1298.3
1970   29.8   88.9  113.4  133.7  167.5  234.0  125.7  158.1  108.9   87.8   43.5   48.5   149.2   414.6   517.8   240.3  1339.9
1971   34.8   53.2   73.3  123.1  221.1  132.3  220.6  126.3  155.1  110.3   60.6   24.3   136.4   417.5   479.2   326.1  1335.0
1972   37.6   45.8  117.8  130.2  133.3  138.7  171.5  161.6  129.1   97.8   52.2   34.3   107.8   381.2   471.8   279.1  1249.9
1973   34.0   65.4  128.8  150.5  160.8  195.1  156.0  168.5  119.1   79.8   65.6   42.0   133.8   440.0   519.6   264.5  1365.5
1974   42.5   52.0  106.6  177.8  182.4  195.0  134.5  150.7  105.4   68.2   44.2   29.4   136.4   466.9   480.2   217.7  1288.6
1975   30.8   88.1  104.0  124.2  234.5  259.6  165.3  203.7  135.7  106.9   70.1   32.7   148.3   462.6   628.6   312.8  1555.5
1976   34.6   55.1   99.8  134.4  132.7  215.6  226.0  243.0   76.6   64.2   61.7   44.4   122.4   366.9   684.6   202.4  1388.0
1977   41.8   52.8   71.9  145.8  244.6  193.4  197.0  153.3   94.5   95.3   59.9   34.1   139.0   462.2   543.7   249.8  1384.4
1978   42.1   49.8   99.7  117.5  205.7  145.2  147.0  111.1   98.3   71.3   54.0   32.1   126.1   422.8   403.2   223.6  1173.6
1979   54.6   70.7   72.9  125.2  157.9  165.4  139.2  149.4  133.4   88.1   51.3   41.1   157.4   356.0   454.1   272.8  1249.3
1980   47.1   30.7   82.9  167.6  237.0  126.5  132.4  116.0  107.4   79.5   53.2   39.6   119.0   487.5   374.8   240.1  1219.8
1981   33.6   68.4   72.7  145.3  150.3  134.5  130.4  160.6  130.4  101.3   41.8   43.5   141.6   368.3   425.6   273.5  1212.9
1982   55.2   56.0  129.1  170.6  203.4  142.7  161.7  138.0  120.2   63.2   41.1   29.8   154.7   503.1   442.4   224.5  1311.1
1983   32.3   65.3   59.4  127.7  120.5  151.5  215.4  208.0   91.1   83.6   46.6   37.3   127.4   307.6   574.9   221.3  1238.8
1984   44.8   53.0   54.7  205.3  202.2  164.8  249.9  192.0   98.1   83.6   41.7   41.8   135.1   462.3   606.7   223.5  1432.0
1985   40.8   79.0  110.1  107.0  155.7  171.2  149.9  126.0  105.2   85.4   68.2   34.6   161.6   372.9   447.1   258.8  1233.2
1986   39.1   95.3  108.5  119.7  178.4  180.0  121.0  117.8  160.2  100.7   64.8   37.4   168.9   406.7   418.8   325.7  1322.9
1987   55.2   60.6   96.5  140.2  195.2  102.3  158.9  133.0  145.1   89.7   45.8   34.9   153.2   431.9   394.2   280.6  1257.4
1988   45.4   79.0   79.3  129.0  202.9  189.6  122.2  153.2  117.3   93.0   80.6   29.3   159.2   411.2   465.0   290.8  1320.7
1989   51.5   78.4   97.8  137.2  246.2  212.0  245.1  189.0  108.4   72.7   65.0   27.7   159.2   481.2   646.1   246.1  1530.9
1990   46.0   50.8  101.9  174.1  224.2  120.8  248.5  157.6  121.7   78.6   50.0   37.4   124.5   500.2   526.9   250.3  1411.7
1991   58.1   63.1   67.7  142.7  136.3  142.4  162.5  165.5  167.2   77.2   47.9   39.5   158.6   346.7   470.4   292.3  1270.2
1992   52.0   59.3   71.4  110.3  239.5  204.4  155.2  159.3  103.2   66.4   42.5   39.0   150.8   421.1   519.0   212.1  1302.5
1993   33.2   46.0   96.3  125.2  145.9  171.4  128.4  152.9   94.1   98.2   59.9   28.5   118.2   367.4   452.7   252.1  1179.9
1994   46.5   56.4   91.1  157.7  157.2  149.2  195.7  142.0  106.7  101.5   44.8   38.5   131.4   406.0   487.0   253.0  1287.3
1995   39.9   59.2  114.7  176.4  178.9  213.2  199.4  255.9  127.5  103.8   60.6   43.3   137.5   470.0   668.4   291.8  1572.7
1996   20.3   77.4   69.7  104.5  179.2  217.7  190.6  168.1  136.2   84.9   65.2   51.2   141.0   353.4   576.3   286.4  1364.9
1997   52.2   61.3  103.2  123.4  212.4  131.1  209.2  185.6  129.5  110.1   32.1   29.5   164.7   439.0   525.8   271.7  1379.6
