Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland N
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   37.0   43.9   93.4  144.7  150.9  108.2  130.6   89.6   81.1   76.7   43.9   19.9   106.2   389.0   328.5   201.7  1020.0
1953   22.3   54.5  126.0  143.2  156.0  140.6   79.3  110.6   94.6   66.8   37.1   31.0    96.7   425.2   330.5   198.5  1062.1
1954   25.3   55.7  120.0  175.4  139.0  136.6   87.9   91.0   95.8   64.4   32.5   18.0   112.0   434.4   315.4   192.6  1041.4
1955   35.8   76.0   94.2  160.1  188.8  186.6  212.0  141.2  103.2   53.4   42.4   26.0   129.8   443.1   539.8   199.0  1319.6
1956   29.5   49.9  123.9  157.0  138.7  164.1  147.5  107.5   82.6   66.7   24.5   17.2   105.4   419.6   419.0   173.7  1109.0
1957   28.5   63.2   63.1  152.6  157.6  192.6   75.9  104.0   89.1   46.9   25.8   30.5   108.8   373.3   372.4   161.7  1029.7
1958   23.3   39.7  105.7  118.3  175.5  128.2  140.4   99.9  112.4   66.3   49.9   21.2    93.5   399.5   368.5   228.7  1080.9
1959   36.1   81.4   99.9  107.5  186.4  170.5   96.7  100.5  133.9   93.6   42.6   20.3   138.7   393.8   367.7   270.1  1169.4
1960   33.3   79.6   87.8  106.1  174.1  170.9  125.3  106.1  121.8   48.4   47.0   34.8   133.2   367.9   402.3   217.2  1135.1
1961   37.0   60.1   75.9  125.5  173.5  130.0   69.0  103.7  102.1   65.6   48.5   32.6   131.9   374.8   302.7   216.2  1023.4
1962   30.3   59.9   92.9  193.8  135.4  137.3  140.2  117.0   67.9   53.5   29.4   21.9   122.8   422.1   394.5   150.8  1079.4
1963   46.3   83.4  102.0  136.5  163.4  155.9  154.0   77.9   92.7   57.0   35.2   26.2   151.5   402.0   387.8   184.9  1130.5
1964   31.0   69.3   92.2  100.3  133.9  146.5  119.8  113.2   88.5   71.5   31.1   22.7   126.5   326.4   379.5   191.1  1019.9
1965   34.3   27.6  104.7  135.0  113.2  110.8  130.4  125.4   64.3   85.7   49.0   20.9    84.6   352.9   366.5   199.1  1001.4
1966   20.5   58.8   69.4  150.3  154.8  100.5  130.0  153.1   63.6   52.9   40.2   16.9   100.2   374.5   383.6   156.7  1010.9
1967   18.4   49.1   76.6  123.6  154.6  196.9  105.5  108.7   79.7   70.2   33.0   18.7    84.4   354.8   411.1   182.9  1034.9
1968   22.4   86.8   70.3  157.6  144.8  173.8  115.6  178.0   87.1   43.2   51.9   22.8   127.9   372.7   467.4   182.2  1154.4
1969   20.6   61.3  108.6  148.2  122.0  187.9  127.7  127.0   95.1   58.0   36.8   26.9   104.8   378.8   442.6   190.0  1120.2
1970   26.1   68.6   95.4  138.2  122.8  234.7   90.7  109.4   77.9   48.9   36.3   19.7   121.5   356.4   434.8   163.1  1068.6
1971   17.6   48.6   75.1  119.4  174.3  145.3  149.2  128.6  120.5   86.9   25.5   18.6    86.0   368.8   423.1   232.9  1109.6
1972   30.3   54.3  107.0  117.1  128.2  137.2  168.2  114.7   97.9   85.4   36.8   33.8   103.2   352.3   420.1   220.0  1110.8
1973   28.8   52.5  101.8  109.7  144.9  112.7  117.6  145.8   96.7   91.5   30.3   13.6   115.2   356.4   376.1   218.4  1045.9
1974   25.2   34.1  113.9  188.7  141.8  165.5  120.0  125.3  106.0   46.8   37.2   15.7    72.9   444.4   410.8   190.0  1120.2
1975   25.8   95.4   94.5   92.7  192.7  183.6  125.6  137.3   88.9   84.1   38.1   12.8   137.0   379.9   446.5   211.0  1171.5
1976   20.5   60.6   97.6  111.2  133.1  115.7  154.4  210.7   80.9   65.1   50.9   25.0    93.9   341.9   480.8   196.9  1125.7
1977   39.1   70.4   72.8  119.1  190.0  161.8  141.0  159.3   92.1   59.6   32.8   29.3   134.5   381.9   462.1   184.5  1167.3
1978   26.3   66.3   81.6  109.0  176.3  140.1  101.8   75.7   74.6   55.7   36.9   19.1   121.9   366.8   317.6   167.2   963.3
1979   27.4   79.6   88.8   97.0  143.8  144.3   83.9   92.0  105.7   71.3   35.2   21.1   126.2   329.5   320.2   212.2   990.2
1980   29.4   50.1   78.9  127.7  200.3  117.3   88.5   88.9   82.6   58.8   28.2   10.0   100.6   406.8   294.7   169.6   960.7
1981   19.2   66.7   86.1  170.4  161.0  120.4   93.2  112.1   87.9   70.3   32.1   24.7    95.9   417.5   325.7   190.3  1044.1
1982   25.4   60.6   90.3  108.0  191.1  165.1  164.6  107.1   76.4   56.1   31.1   21.5   110.7   389.3   436.8   163.5  1097.2
1983   13.2   61.8   52.9  120.6  100.4  144.8  170.3  122.5   68.5   55.8   27.4   15.6    96.5   273.8   437.6   151.7   953.8
1984   24.4   38.8   60.1  172.0  179.6  116.4  115.6  152.8   66.2   67.2   27.6   28.6    78.9   411.7   384.8   161.1  1049.4
1985   35.3   79.2   91.3   97.5  156.1  146.4   89.7  105.1   80.4   78.5   33.3   18.3   143.1   344.9   341.2   192.2  1011.1
1986   23.8   90.9   98.3  120.3  127.8  183.8  112.3  118.5   88.9   69.5   30.8   15.6   133.0   346.4   414.5   189.2  1080.4
1987   23.6   49.8   99.0  103.2  151.9  119.9   75.4  102.4  122.2   75.0   27.0   25.7    89.0   354.1   297.7   224.1   975.0
1988   32.6   39.0   84.5  121.1  183.5  148.8   99.3   88.0   86.8   54.5   43.5   14.5    97.3   389.2   336.2   184.8   996.3
1989   33.0   59.8   94.0  118.4  187.5  162.3  172.7  105.5  106.9   55.7   56.2   25.1   107.3   399.8   440.5   218.8  1177.2
1990   23.4   48.6   61.9  148.6  185.2   95.3  187.1  101.1   81.3   68.6   32.2   13.9    97.1   395.7   383.5   182.1  1047.1
1991   42.2   52.5   73.3  132.3  141.2  125.1  135.1  129.5  117.6   51.0   28.7   15.1   108.6   346.8   389.7   197.2  1043.4
1992   27.5   44.1   50.6   91.5  220.0  164.0   97.0  119.1   77.7   59.4   31.3   20.2    86.8   362.1   380.1   168.4  1002.5
1993   18.1   29.8   94.1  106.4  161.5   97.3   77.3   88.8  107.0   52.4   54.2   18.4    68.2   362.0   263.4   213.5   905.3
1994   19.0   69.5   78.7  117.8  223.5  127.9  145.1  118.3  108.4   65.5   33.3   25.1   106.9   420.0   391.3   207.2  1132.1
1995   24.0   53.2   83.8   93.7  161.1  194.2  180.1  203.6   80.1   76.3   36.3   39.1   102.3   338.6   577.9   192.8  1225.5
1996   31.6   56.4   67.3  104.5  175.9  153.1  122.5   93.9  139.3   56.7   46.8   27.4   127.1   347.8   369.5   242.8  1075.5
1997   35.8   49.9   83.0   98.8  155.5  150.1  147.4  179.5  121.8   78.4   31.2   22.8   113.1   337.4   477.0   231.4  1154.3
1998   26.4   27.3   56.7  143.8  156.3  147.4   81.5  102.9  109.7   83.9   44.5   18.7    76.5   356.8   331.8   238.1   999.2
1999   26.6   50.3   94.7  127.8  151.6  115.9  152.8  150.6   94.4   59.6   29.2   20.8    95.5   374.2   419.3   183.2  1074.3
2000   25.5   51.7   71.7  127.2  218.5  142.5  128.0  122.4  103.0   75.4   43.2   22.2    98.0   417.4   392.8   221.6  1131.1
2001   51.2   66.5  118.8  139.8  185.0  128.7   85.2  118.6   85.1   58.1   24.5   31.3   139.9   443.6   332.5   167.6  1092.7
2002   20.4   46.7   92.1  143.2  173.0  129.8   96.3  119.9  102.7   69.6   35.2   25.3    98.4   408.4   346.0   207.6  1054.3
2003   27.4   93.7  125.6  154.4  135.7  146.3  128.3  166.8  109.4   92.7   54.0   21.5   146.3   415.7   441.4   256.0  1255.7
2004   22.2   63.2  112.5   95.9  167.1   97.7  119.2  150.7  116.3   46.8   31.6   22.3   106.9   375.5   367.6   194.7  1045.5
2005   17.6   47.3   78.1  146.0  159.9  118.8  119.0  117.5   87.8   67.8   36.6   18.9    87.2   384.0   355.3   192.2  1015.3
2006   33.2   56.1   65.7  149.0  178.2  158.8  162.1   77.1  103.9   62.0   37.3   27.6   108.1   392.9   398.0   203.2  1110.9
2007   20.3   52.6  120.0  164.1  174.2  146.6   95.4   98.6   75.0   68.1   22.5   33.0   100.6   458.3   340.6   165.6  1070.5
2008   21.8   69.9   98.1  155.6  225.4  126.7  140.9  105.8   84.9   70.1   29.7   24.4   124.7   479.1   373.4   184.7  1153.3
2009   38.2   37.7   92.2  145.5  209.7  220.6  147.0  118.8   89.3   64.2   43.5   27.6   100.3   447.4   486.4   197.0  1234.4
2010   31.1   63.2   93.1  133.2  174.7  121.7  116.7  109.5   97.7   79.9   44.7   26.7   121.9   401.0   347.9   222.2  1092.1
2011   33.3   61.9   76.7  157.0  171.2  134.1  131.0   90.6   83.8   55.3   57.8   16.4   121.9   404.9   355.7   196.9  1069.2
2012   34.7   47.0  109.4  117.5  203.0  120.1   93.3  131.3   99.3   71.4   44.0   22.3    98.1   429.9   344.8   214.7  1093.3
2013   23.1   77.9   99.1  161.8  147.0  124.4  183.4  110.1   99.3   58.6   39.1   14.3   123.2   407.9   417.9   197.1  1138.0
2014   25.5   60.8  106.7  136.3  114.7  103.0  172.9  129.8   94.4   62.5   38.3   21.8   100.6   357.7   405.6   195.2  1066.6
2015   27.8   52.5  109.7  174.6  151.4  104.5  116.2  113.7  111.1   84.0   29.4   19.2   102.1   435.8   334.4   224.5  1094.3
2016   19.9   71.1  102.6  136.4  195.5  138.5   84.8  140.7   92.4  104.8   51.1   16.8   110.1   434.5   364.0   248.3  1154.5
2017   37.0   72.6  119.4  102.6  205.0   95.4  139.7  110.6   86.9   46.7   34.3   14.6   126.5   427.0   345.8   167.9  1064.9
2018   32.4   91.0   92.6  159.1  219.6  205.0  156.3  107.9   94.1   73.0   54.1   22.1   138.1   471.3   469.2   221.2  1307.2
2019   35.8   50.1   92.1  158.3  149.9  143.3  113.3  106.9   99.2   81.9   44.1   21.2   108.0   400.4   363.4   225.2  1096.2
2020   17.5   50.3   93.4  200.6  190.7  136.4  105.3  139.9  100.6   52.0   37.9   19.0    89.1   484.7   381.6   190.5  1143.6
2021   41.3   75.1   76.4  197.1  141.0  156.0  153.1  111.9   77.0   43.9   22.3   20.7   135.4   414.5   420.9   143.1  1115.6
2022   19.6   47.1  154.0  121.0  112.6  169.5  105.9  131.7   88.7   61.6   41.4   22.4    87.4   387.5   407.1   191.7  1075.5
2023   23.5   48.0   95.6  166.6  160.0  224.2  120.0  121.9  118.1   69.2   43.5   26.0    93.9   422.2   466.1   230.8  1216.5
2024   36.1   59.8  116.2  111.6  146.8  111.6  105.6  113.1  126.0   60.7   43.0   12.2   121.9   374.6   330.4   229.7  1042.8
2025   39.4   78.6   98.5  210.2  256.5  121.6  148.3  132.0  117.7   53.0   32.0   23.3   130.2   565.2   401.8   202.7  1311.0
2026   20.4   47.7  104.6  187.7                                                            91.4                                
