Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1952   76.9   73.7   89.7  177.3  227.2  204.6  197.3  186.8  132.5  116.0   67.5   59.7   212.2   494.1   588.7   316.0  1609.2
1953   32.3   64.5  126.8  162.3  223.5  131.5  191.9  215.7  171.7   74.9   51.8   33.0   156.5   512.7   539.1   298.4  1479.9
1954   61.1   55.2   95.4  165.9  159.2  148.8  137.1  132.0  164.4  104.5   59.8   59.3   149.3   420.6   417.8   328.8  1342.8
1955   35.4   79.3  155.5  165.9  190.1  173.1  239.2  190.6  160.1  124.2   50.3   55.9   174.0   511.5   603.0   334.5  1619.5
1956   59.6   66.3  144.5  167.1  241.2  136.0  159.6  156.2  116.1  112.6   63.0   16.2   181.8   552.8   451.8   291.7  1438.4
1957   58.9   80.0  106.6  161.0  203.6  277.5  155.0  157.9  107.0   94.3   70.5   54.0   155.1   471.2   590.4   271.8  1526.2
1958   47.2   58.3  129.4  154.4  193.0  140.2  184.4  134.0  150.6   98.3   44.6   37.3   159.5   476.8   458.6   293.5  1371.8
1959   77.7   65.5  106.3  156.0  228.5  248.6  271.7  219.4  191.2  162.9   60.8   34.3   180.5   490.8   739.7   414.9  1822.9
1960   37.8   74.6   66.7  161.0  189.4  258.9  153.7  169.4  126.0   80.2   66.5   43.4   146.7   417.0   581.9   272.6  1427.4
1961   47.3   68.4  164.5  114.7  218.4  232.0  172.4  181.6  130.2  131.2   67.8   69.0   159.1   497.6   586.0   329.2  1597.4
1962   72.4   69.2  108.4  138.1  156.4  259.8  135.6  169.6  131.4  111.0   38.0   80.7   210.6   402.9   565.1   280.4  1470.6
1963   61.5   70.3  104.2  132.9  195.7  206.6  205.2  124.1  132.9   90.9   61.0   48.9   212.5   432.8   535.9   284.7  1434.1
1964   46.5   66.1   57.2  123.5  220.8  163.1  207.7  206.4  201.5  121.6   65.6   41.8   161.4   401.6   577.1   388.7  1521.7
1965   74.2   34.0  125.6  125.5  175.4  177.5  110.2  184.4  128.5  132.0   84.2   51.8   150.0   426.6   472.1   344.6  1403.3
1966   31.8   39.8  117.0   92.6  208.5  188.6  158.5  197.8  157.7   78.4   50.9   36.5   123.4   418.1   544.9   287.0  1358.2
1967   64.3   81.5  171.3  137.5  180.1  201.2  222.1  168.8  115.3  104.0   64.3   64.1   182.4   488.8   592.2   283.6  1574.6
1968   40.0   45.5  126.6  183.6  156.4  176.1  142.1  119.6  130.8   68.5   34.9   26.6   149.6   466.7   437.9   234.2  1250.8
1969   34.3   69.6   70.9  188.3  175.4  261.6  210.8  138.8  124.0  108.4   66.5   15.8   130.5   434.5   611.2   298.9  1464.3
1970   24.8  101.7   98.1  123.1  202.3  266.6  169.6  186.1  157.9  107.4   61.5   40.1   142.2   423.5   622.3   326.8  1539.1
1971   37.4   70.4   96.8  114.5  227.6  141.1  227.1  143.0  170.8  140.3   86.8   32.1   147.8   438.9   511.2   398.0  1487.9
1972   38.5   41.8  148.3  132.5  181.4  171.7  154.3  184.4  113.0   97.3   77.4   49.4   112.4   462.2   510.4   287.7  1390.1
1973   37.7   75.6  130.6  144.5  184.6  268.9  159.8  193.7  167.8  101.1   96.1   57.5   162.6   459.6   622.4   365.1  1617.9
1974   55.5   63.8   98.1  150.5  204.5  195.5  176.0  193.7  155.5   85.4   48.5   48.8   176.9   453.1   565.2   289.3  1475.7
1975   37.5   68.8   63.5  120.3  169.8  269.1  219.6  241.0  155.6  114.1   69.2   40.5   155.1   353.5   729.7   338.9  1568.8
1976   56.3   49.2  114.5  169.9  193.5  283.2  280.4  255.1  123.4   57.3   63.2   61.2   146.0   477.8   818.6   243.8  1707.1
