Substation/Group,Voltage,Scenario,DFES Year,Financial Year,Headroom (MW),Headroom Type,Grid_Group,Primary_Group
ABERGELE T1 / PENSARN T1,11.0,HT,2037.0,2037/38,0.0,Demand,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,ABERGELE T1 / PENSARN T1
ABERGELE T1 / PENSARN T1,11.0,HT,2040.0,2040/41,0.0,Demand,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,ABERGELE T1 / PENSARN T1
ABERGELE T1 / PENSARN T1,11.0,HT,2042.0,2042/43,0.0,Demand,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,ABERGELE T1 / PENSARN T1
ABERGELE T1 / PENSARN T1,11.0,HT,2046.0,2046/47,0.0,Demand,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,ABERGELE T1 / PENSARN T1
ABERGELE T1 / PENSARN T1,11.0,HT,2049.0,2049/50,0.0,Demand,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,ABERGELE T1 / PENSARN T1
ABERSOCH T1,11.0,EE,2036.0,2036/37,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HE,2039.0,2039/40,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HE,2043.0,2043/44,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HE,2048.0,2048/49,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2026.0,2026/27,1.268416149458655,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2027.0,2027/28,1.219213330212956,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2028.0,2028/29,1.063905962606039,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2029.0,2029/30,0.9200643530225885,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2030.0,2030/31,0.750192150957528,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2031.0,2031/32,0.5128394534776128,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2032.0,2032/33,0.2662592839685849,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2033.0,2033/34,0.02242500049533724,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2035.0,2035/36,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2036.0,2036/37,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2040.0,2040/41,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2043.0,2043/44,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2045.0,2045/46,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERSOCH T1,11.0,HT,2046.0,2046/47,0.0,Demand,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,ABERSOCH T1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,EE,2042.0,2042/43,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,EE,2043.0,2043/44,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,EE,2046.0,2046/47,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,EE,2048.0,2048/49,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,EE,2049.0,2049/50,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
