AssetID,GSP Grouping / Default Order,Map / License Area,Substation,Upstream GSP,Upstream BSP,Substation Type,Voltage (kV),Location Latitude,Location Longitude,Grid Reference,Substation Comment,LTDS CIM Nodes,Transformer Nameplate Ratings,Single Transformer Site,Maximum Observed Gross Demand (MVA),Minimum Observed Gross Demand (MVA),Contracted Demand Excl BESS (MVA),Contracted BESS Demand (MVA),Estimated Demand Headroom (MVA),Substation Demand RAG Status,Demand Constraint,TIA Threshold,Connected Generation (MW),Contracted Generation (MW),Technical Limits Agreed at GSP,Estimated Generation Headroom (MW),3-Phase Break Fault Rating (kA),3-Phase Break Fault Level (kA),Substation Generation RAG Status,Generation Constraint,Upstream Reinforcement Works,Upstream Reinforcement Completion Date,Substation Reinforcement Works,Substation Reinforcement Completion Date
E - AMEM - 01,E - AMEM - 01,England / SEPD,Amersham GSP,N/A,N/A,GSP,400 / 132,51.665161,-0.65571955,SU 93070 97120,"Any available capacity at Amersham GSP is shared with another DNO - UKPN
Maximum and minimum demand figures listed account only for SSEN's network","10410, 10411",2 X 240MVA (Shared with UKPN),No,52.49,14.20,15.51,0.00,N/A,Red,Substation Thermal Capacity,5MW,41.33,1.00,No,N/A,40.00,9.06,Red,Substation Thermal Capacity,"Transmission works:
Add a 3rd 240MVA transformer",Sep-26,,
E - AMEM - 02,E - AMEM - 02,England / SEPD,Loudwater BSP,Amersham GSP,N/A,BSP,132 / 33,51.612766,-0.69230578,SU 90644 91247,,"18530, 18529",2 x 45 / 90MVA,No,49.87,13.87,15.51,0.00,0.00,Red,Upstream Thermal Capacity,5MW,40.00,1.00,No,0.00,17.50,12.06,Red,Upstream Thermal Capacity,,,,
E - AMEM - 03,E - AMEM - 03,England / SEPD,Bowerdean Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.636897,-0.73389355,SU 87718 93880,,85857,2 x 20MVA,No,19.20,3.38,5.39,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.00,0.00,No,0.00,13.10,11.08,Red,Upstream Thermal Capacity,,,,
E - AMEM - 04,E - AMEM - 04,England / SEPD,Flackwell Heath Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.595422,-0.69247181,SU 90667 89318,,85874,2 x 15 / 30MVA,No,10.96,1.58,3.03,0.00,0.00,Red,Upstream Thermal Capacity,5MW,1.33,0.00,No,0.00,25.00,8.63,Red,Upstream Thermal Capacity,,,,
E - AMEM - 05,E - AMEM - 05,England / SEPD,Well End Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.583531,-0.7239315,SU 88511 87957,,85868,2 x 15 / 30MVA,No,14.90,3.62,2.65,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,1.00,No,0.00,13.10,9.04,Red,Upstream Thermal Capacity,,,,
E - AMEM - 06,E - AMEM - 06,England / SEPD,Wycombe Marsh Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.618469,-0.72192637,SU 88582 91845,,85864,2 x 12 / 24MVA,No,8.53,1.69,4.44,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,0.00,25.00,8.62,Red,Upstream Thermal Capacity,,,,
E - AXMI - 01,E - AXMI - 01,England / SEPD,Axminster GSP,N/A,N/A,GSP,400 / 132,50.786835,-2.9216119,SY 35130 98990,"Any available capacity at Axminster GSP is shared with another DNO - NGED
Maximum and minimum demand figures listed account only for SSEN's network","15433, 15434, 15435",2 x 240MVA (Shared with NGED),No,97.47,20.20,64.51,143.61,N/A,Green,,5MW,127.38,310.78,Yes,N/A,31.50,9.95,Red,Substation Thermal Capacity,,,,
E - AXMI - 02,E - AXMI - 02,England / SEPD,Yeovil BSP,Axminster GSP,N/A,BSP,132 / 33,50.94991,-2.605157,ST 57586 16894,,"13116, 13117, 13118, 13119, 15134, 26430",2 x 30 / 60MVA + 1 x 45 / 90MVA,No,97.47,20.20,64.51,12.00,16.94,Green,,5MW,92.38,85.98,Yes,0.00,25.00,16.39,Red,Substation Thermal Capacity & Upstream Thermal Capacity,"Reinforce oil filled cable sections of the Axminster GSP to Yeovil BSP 132kV circuits (Dec-28)

Install a 3rd 132kV circuit between Axminster GSP and Yeovil BSP",May-31,Replace both transformers with 90MVA units,May-31
E - AXMI - 03,E - AXMI - 03,England / SEPD,Castle Cary Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,51.07757,-2.5076407,ST 64534 31039,,89938,2 x 7.5 / 15MVA,No,5.87,1.24,2.49,0.00,6.81,Green,,5MW,1.25,0.00,Yes,0.00,25.00,4.94,Red,Upstream Thermal Capacity,,,,
E - AXMI - 04,E - AXMI - 04,England / SEPD,Chilton Cantello Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.992393,-2.601093,ST 57910 21616,,89931,2 x 7.5 / 15MVA,No,8.78,1.39,4.61,0.00,7.15,Green,,5MW,0.00,0.00,Yes,0.00,20.00,8.30,Red,Upstream Thermal Capacity,,,,
E - AXMI - 05,E - AXMI - 05,England / SEPD,Henstridge Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.972128,-2.3905287,ST 72676 19263,,89519,2 x 12 / 24MVA,No,8.84,1.27,5.79,0.00,13.55,Green,,5MW,5.94,0.00,Yes,0.00,25.00,4.91,Red,Upstream Thermal Capacity,,,,
E - AXMI - 06,E - AXMI - 06,England / SEPD,Larkhill Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.949788,-2.6608023,ST 53677 16914,,89929,2 x 15 / 30MVA,No,9.63,2.23,8.87,0.00,12.27,Green,,5MW,0.00,0.00,Yes,0.00,25.00,10.31,Red,Upstream Thermal Capacity,,,,
E - AXMI - 07,E - AXMI - 07,England / SEPD,Milborne Port Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.97618,-2.4581769,ST 67929 19741,,89927,1 x 5MVA,Yes,3.91,0.56,0.35,0.00,2.14,Green,,5MW,4.00,0.00,Yes,0.00,25.00,2.49,Red,Upstream Thermal Capacity,,,,
E - AXMI - 08,E - AXMI - 08,England / SEPD,Pulham Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.883844,-2.405384,ST 71579 09451,,89924,2 x 8MVA,No,4.03,0.58,0.47,0.00,6.11,Green,,5MW,0.19,0.00,Yes,0.00,13.10,4.50,Red,Upstream Thermal Capacity,,,,
E - AXMI - 09,E - AXMI - 09,England / SEPD,Sherborne Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.961757,-2.5142939,ST 63978 18163,,89926,2 x 7.5 / 15MVA,No,8.01,1.76,1.36,0.00,5.36,Green,,5MW,0.19,0.00,Yes,0.00,25.00,7.30,Red,Upstream Thermal Capacity,,,,
E - AXMI - 10,E - AXMI - 10,England / SEPD,Sparkford Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,51.027483,-2.560808,ST 60767 25496,,15106,2 x 5MVA,No,3.88,0.82,0.76,0.00,2.18,Green,,5MW,0.00,0.00,Yes,0.00,13.10,6.86,Red,Upstream Thermal Capacity,,,,
E - AXMI - 11,E - AXMI - 11,England / SEPD,West Hendford Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.936657,-2.6417877,ST 55000 15442,,89939,3 x 15 / 30MVA,No,17.76,3.07,12.90,0.00,16.94,Green,,5MW,0.00,0.00,Yes,0.00,13.10,13.88,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - AXMI - 12,E - AXMI - 12,England / SEPD,Yeovil Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.949369,-2.6036695,ST 57690 16833,,15102,2 x 15 / 30MVA,No,25.46,3.67,7.19,0.00,5.88,Green,,5MW,15.21,0.00,Yes,0.00,13.10,14.55,Red,Upstream Thermal Capacity & Substation Fault Level,,,Replace the 11kV board with 25kA break / 62.5kA make switchgear,Dec-26
E - AXMI - 13,E - AXMI - 13,England / SEPD,Yetminster Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.889965,-2.5658791,ST 60294 10206,,89925,2 x 7.5 / 12MVA,No,6.67,1.22,0.72,0.00,8.23,Green,,5MW,0.82,0.20,Yes,0.00,25.00,7.78,Red,Upstream Thermal Capacity,,,,
E - BOTW - 01,E - BOTW - 01,England / SEPD,Botley Wood GSP,N/A,N/A,GSP,400 / 132,50.884718,-1.2327295,SU 54070 09750,,"12210, 12211",2 x 240MVA,No,142.14,21.76,37.07,265.83,N/A,Green,,5MW,104.36,439.09,Yes,N/A,40.00,10.07,Red,Substation Thermal Capacity,,,,
E - BOTW - 02,E - BOTW - 02,England / SEPD,Botley Wood BSP,Botley Wood GSP,N/A,BSP,132 / 33,50.884798,-1.2326856,SU 54073 09759,,"12230, 13425",2 x 45 / 90MVA,No,33.09,5.90,20.31,67.53,71.60,Green,,5MW,68.90,77.99,Yes,0.00,25.00,13.42,Red,Substation Thermal Capacity & Upstream Thermal Capacity,,,,
E - BOTW - 03,E - BOTW - 03,England / SEPD,Netley Common BSP,Botley Wood GSP,N/A,BSP,132 / 33,50.905547,-1.3249877,SU 47559 12003,,"13522, 13523, 13524",1 x 60 / 90MVA + 1 x 65 / 90MVA,No,99.07,22.94,16.77,12.50,7.46,Amber,Substation Thermal Capacity,5MW,33.74,38.42,Yes,0.00,25.00,12.56,Red,Upstream Thermal Capacity,,,"Add a 3rd 90MVA transformer (Aug-26)

Replace the 33kV board with 31.5kA break / 78.8kA make switchgear",Dec-28
E - BOTW - 04,E - BOTW - 04,England / SEPD,Park Gate Primary,Botley Wood GSP,Botley Wood BSP,Primary,33 / 11,50.871557,-1.2713317,SU 51369 08259,,87618,2 x 15 / 30MVA,No,11.12,2.41,3.29,0.00,17.04,Green,,5MW,0.00,0.00,Yes,0.00,13.10,8.64,Red,Upstream Thermal Capacity,,,,
E - BOTW - 05,E - BOTW - 05,England / SEPD,Whitely Primary,Botley Wood GSP,Botley Wood BSP,Primary,33 / 11,50.876226,-1.2489868,SU 52936 08794,,87612,2 x 15 / 30MVA,No,18.00,4.49,17.02,0.00,0.37,Red,Substation Thermal Capacity,5MW,0.00,1.00,Yes,0.00,25.00,10.36,Red,Upstream Thermal Capacity,,,Replace both transformers with 20 / 40MVA units,Sep-27
E - BOTW - 06,E - BOTW - 06,England / SEPD,Bishops Waltham Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.946805,-1.1943989,SU 56691 16683,,88189,2 x 12 / 24MVA,No,15.63,2.25,2.20,0.00,7.32,Green,,5MW,0.33,0.00,Yes,0.00,20.00,8.13,Red,Upstream Thermal Capacity,Reinforce the 33kV circuits between Netley Common BSP and Bishops Waltham Primary,Dec-28,Replace both transformers with 20 / 40MVA units,Dec-28
E - BOTW - 07,E - BOTW - 07,England / SEPD,Bitterne Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.915445,-1.3595965,SU 45116 13082,,88194,2 x 10MVA,No,9.33,1.88,0.50,0.00,3.40,Green,,5MW,0.00,0.00,Yes,0.00,25.00,8.85,Red,Upstream Thermal Capacity,Establish a new 33kV switchboard at Bitterne Primary,Jun-28,,
E - BOTW - 08,E - BOTW - 08,England / SEPD,Hamble Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.876708,-1.3280906,SU 47370 08794,,88255,2 x 15 / 30MVA,No,16.62,5.95,0.97,0.00,7.46,Green,,5MW,0.00,0.00,Yes,0.00,20.00,8.85,Red,Upstream Thermal Capacity,,,,
E - BOTW - 09,E - BOTW - 09,England / SEPD,Netley Common Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.905741,-1.3241885,SU 47615 12025,,88197,2 x 15 / 30MVA,No,26.03,6.65,7.12,0.00,0.00,Red,Substation Thermal Capacity,5MW,0.13,0.00,Yes,0.00,25.00,10.10,Red,Upstream Thermal Capacity,,,Replace both transformers with 20 / 40MVA units,Apr-27
E - BOTW - 10,E - BOTW - 10,England / SEPD,Townhill Park Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.930737,-1.3588175,SU 45156 14783,,88179,2 x 15 / 30MVA,No,16.89,2.71,1.01,0.00,7.46,Green,,5MW,0.83,0.50,Yes,0.00,13.10,9.43,Red,Upstream Thermal Capacity,Install an additional 33kV circuit between Netley Common BSP and a newly established 33kV switchboard at Townhill Park Primary,Jun-29,,
E - BOTW - 11,E - BOTW - 11,England / SEPD,Weston Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.886934,-1.3586937,SU 45207 09912,,88224,2 x 20MVA,No,10.19,2.00,1.40,0.00,7.46,Green,,5MW,0.00,0.08,Yes,0.00,13.10,10.76,Red,Upstream Thermal Capacity,Reinforce the 33kV circuits between Netley Common BSP and Weston Primary,Jun-28,,
E - BOTW - 12,E - BOTW - 12,England / SEPD,Woolston Primary,Botley Wood GSP,Netley Common BSP,Primary,33 / 11,50.898975,-1.3736301,SU 44145 11242,,88234,2 x 15 / 30MVA,No,8.04,2.90,3.57,0.00,7.46,Green,,5MW,0.00,0.00,Yes,0.00,20.00,8.14,Red,Upstream Thermal Capacity,Reinforce the 33kV circuit between Weston and Woolston Primaries,Jun-28,,
E - BRLE (AT) - 01,E - BRLE (AT) - 01,England / SEPD,Bramley (Ames-That) GSP,N/A,N/A,GSP,400 / 132,51.337428,-1.0764758,SU 64430 60220,,"12412, 12413",2 x 240MVA,No,183.03,61.20,66.79,28.62,N/A,Green,,5MW,56.20,163.70,Yes,N/A,40.00,9.13,Red,Substation Thermal Capacity,,,Establish a new 132kV switchboard at Bramley,Mar-30
E - BRLE (AT) - 02,E - BRLE (AT) - 02,England / SEPD,Amesbury BSP,Bramley (Ames-That) GSP,N/A,BSP,132 / 33,51.183529,-1.7747245,SU 15842 42724,,"10529, 10530",1 x 45 / 90MVA + 1 x 65 / 90MVA,No,48.52,12.83,4.05,0.00,63.67,Green,,5MW,0.76,0.22,Yes,0.00,25.00,7.46,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 03,E - BRLE (AT) - 03,England / SEPD,Thatcham BSP,Bramley (Ames-That) GSP,N/A,BSP,132 / 33,51.394501,-1.2421443,SU 52824 66435,,"24176, 24177",1 x 30 / 60MVA + 2 x 45 / 90MVA,No,132.95,37.63,54.97,0.00,30.28,Green,,5MW,28.40,23.00,Yes,0.00,25.00,21.18,Red,Upstream Thermal Capacity,"Install 2 new 132kV circuits between the Ashford Hill tee-off and Thatcham BSP (Sep-27)

Install 2 new 132kV circuits between the new Bramley 132kV switchboard and Thatcham BSP (Dec-31)",Sep-27,Add a 4th 90MVA transformer and place the existing 60MVA unit on hot-standby,Apr-27
E - BRLE (AT) - 04,E - BRLE (AT) - 04,England / SEPD,Boscombe Down Primary,Bramley (Ames-That) GSP,Amesbury BSP,Primary,33 / 11,51.168384,-1.7555755,SU 17186 41044,,89009,2 x 15 / 30MVA,No,17.12,3.05,1.53,0.00,10.37,Green,,5MW,0.17,0.00,Yes,0.00,25.00,9.50,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 05,E - BRLE (AT) - 05,England / SEPD,Enford Primary,Bramley (Ames-That) GSP,Amesbury BSP,Primary,33 / 11,51.264402,-1.8046286,SU 13728 51712,,88996,2 x 8MVA,No,3.47,0.57,0.27,0.00,6.78,Green,,5MW,0.00,0.00,Yes,0.00,25.00,4.29,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 06,E - BRLE (AT) - 06,England / SEPD,Park House Primary,Bramley (Ames-That) GSP,Amesbury BSP,Primary,33 / 11,51.192777,-1.6702724,SU 23138 43780,,89016,2 x 4MVA,No,1.66,0.24,0.04,0.00,3.52,Green,,5MW,0.00,0.00,Yes,0.00,25.00,4.26,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 07,E - BRLE (AT) - 07,England / SEPD,Pewsey Primary,Bramley (Ames-That) GSP,Amesbury BSP,Primary,33 / 11,51.332175,-1.7902459,SU 14710 59252,,"85781, 85777",2 x 10 / 14MVA,No,7.70,1.13,0.61,0.00,5.21,Green,,5MW,0.59,0.00,Yes,0.00,25.00,5.96,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 08,E - BRLE (AT) - 08,England / SEPD,Ratfyn Primary,Bramley (Ames-That) GSP,Amesbury BSP,Primary,33 / 11,51.181801,-1.7693965,SU 16215 42533,,89020,2 x 12 / 24MVA,No,10.87,2.07,1.61,0.00,10.85,Green,,5MW,0.00,0.00,Yes,0.00,25.00,12.46,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 09,E - BRLE (AT) - 09,England / SEPD,Ratfyn Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.365765,-1.392107,SU 42417 63142,,89020,2 x 7.5 / 15MVA,No,6.21,1.19,1.61,0.00,9.11,Green,,5MW,0.00,0.00,Yes,0.00,13.10,12.46,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - BRLE (AT) - 10,E - BRLE (AT) - 10,England / SEPD,Beenham Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.417262,-1.1644013,SU 58204 69025,,86469,2 x 10MVA,No,6.67,0.96,0.73,0.00,5.89,Green,,5MW,1.44,0.00,Yes,0.00,13.10,6.48,Red,Upstream Thermal Capacity,Reinforce the 33kV circuit between Thatcham BSP and Beenham Primary,Jan-31,,
E - BRLE (AT) - 11,E - BRLE (AT) - 11,England / SEPD,Hungerford Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.41861,-1.5114998,SU 34066 68957,,86776,2 x 10MVA,No,8.11,1.78,1.80,0.00,3.85,Green,,5MW,0.00,0.00,Yes,0.00,13.10,7.30,Red,Upstream Thermal Capacity,,,Replace both transformers with 7.5 / 15MVA units,Aug-26
E - BRLE (AT) - 12,E - BRLE (AT) - 12,England / SEPD,Kingsclere Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.33095,-1.2552777,SU 51982 59358,,86780,2 x 7.5MVA,No,5.21,0.75,0.78,0.00,4.07,Green,,5MW,0.00,0.00,Yes,0.00,25.00,8.59,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 13,E - BRLE (AT) - 13,England / SEPD,Kintbury Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.402073,-1.4600535,SU 37657 67143,,86882,2 x 7.5MVA,No,5.58,0.81,0.22,0.00,4.04,Green,,5MW,0.00,0.00,Yes,0.00,13.10,7.46,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 14,E - BRLE (AT) - 14,England / SEPD,Lambourn Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.501915,-1.521934,SU 33280 78217,,86874,2 x 7.5MVA,No,7.06,1.39,1.38,0.00,1.89,Green,,5MW,0.00,0.00,Yes,0.00,25.00,6.97,Red,Upstream Thermal Capacity,,,Replace both transformers with 12 / 24MVA units,Feb-27
E - BRLE (AT) - 15,E - BRLE (AT) - 15,England / SEPD,Leckhampstead Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.495955,-1.3681218,SU 43962 77635,,86888,2 x 6.3MVA,No,4.39,1.96,0.40,0.00,3.57,Green,,5MW,0.00,0.00,Yes,0.00,13.10,5.70,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 16,E - BRLE (AT) - 16,England / SEPD,Love Lane Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.413506,-1.320772,SU 47334 68495,,86769,2 x 20 / 40MVA,No,18.63,6.21,12.57,0.00,10.28,Green,,5MW,0.00,0.00,Yes,0.00,25.00,12.31,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 17,E - BRLE (AT) - 17,England / SEPD,Riverside Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.401703,-1.3135866,SU 47846 67187,,86850,2 x 15 / 19.5MVA,No,12.46,1.79,4.44,0.00,10.59,Green,,5MW,0.07,0.02,Yes,0.00,20.00,15.48,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 18,E - BRLE (AT) - 18,England / SEPD,St Johns Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.394356,-1.324232,SU 47113 66363,,86893,1 x 20 / 28MVA + 1 x 20MVA,No,17.71,4.29,8.28,0.00,4.60,Green,,5MW,0.00,1.00,Yes,0.00,13.10,7.74,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 19,E - BRLE (AT) - 19,England / SEPD,Tadley Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.360594,-1.1719102,SU 57753 62717,,86854,2 x 12 / 24MVA,No,7.14,1.51,2.20,0.00,17.23,Green,,5MW,0.00,0.00,Yes,0.00,25.00,11.50,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 20,E - BRLE (AT) - 20,England / SEPD,Thatcham Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.394786,-1.2430882,SU 52758 66466,,86864,2 x 15 / 30MVA,No,21.50,6.18,6.19,0.00,2.15,Amber,Substation Thermal Capacity,5MW,0.12,0.10,Yes,0.00,25.00,13.45,Red,Upstream Thermal Capacity,,,,
E - BRLE (AT) - 21,E - BRLE (AT) - 21,England / SEPD,Yattendon Primary,Bramley (Ames-That) GSP,Thatcham BSP,Primary,33 / 11,51.465194,-1.2283782,SU 53699 74307,,86859,2 x 7.5 / 15MVA,No,9.11,1.78,1.47,0.00,6.28,Green,,5MW,0.00,0.00,Yes,0.00,12.00,6.63,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 01,E - BRLE (B) - 01,England / SEPD,Bramley (Basi) GSP,N/A,N/A,GSP,400 / 132,51.337428,-1.0764758,SU 64430 60220,,"12414, 12415",2 x 240MVA,No,129.21,9.95,66.61,21.05,N/A,Green,,5MW,165.16,98.61,Yes,N/A,40.00,16.85,Red,Substation Thermal Capacity,,,"Establish a new 132kV switchboard at Bramley, split the existing Bramley-Fleet 132kV network with the new Bramley 132kV board serving Basingstoke, Burghfield and Reading BSP's",Jul-30
E - BRLE (B) - 02,E - BRLE (B) - 02,England / SEPD,Basingstoke (T1A & T2A) BSP,Bramley (Basi) GSP,N/A,BSP,132 / 32,51.269829,-1.0677684,SU 65132 52710,,"15894, 15895",1 x 60MVA + 1 x 90MVA,No,38.28,13.78,19.41,0.00,26.86,Green,,5MW,12.30,28.00,Yes,0.00,17.50,16.72,Red,Upstream Thermal Capacity & Substation Fault Level,,,"Replace the 60MVA transformer with a 90MVA unit (Mar-26)

Replace the 33kV board with 31.5kA break / 78.8kA make switchgear",Mar-30
E - BRLE (B) - 03,E - BRLE (B) - 03,England / SEPD,Basingstoke (T1B & T2B) BSP,Bramley (Basi) GSP,N/A,BSP,132 / 33,51.269838,-1.0677682,SU 65132 52711,,15882,2 x 90MVA,No,63.45,20.47,11.53,0.00,45.89,Green,,5MW,52.86,0.90,Yes,0.00,17.50,14.72,Red,Upstream Thermal Capacity,,,Replace the 33kV board with 31.5kA break / 78.8kA make switchgear,Mar-30
E - BRLE (B) - 04,E - BRLE (B) - 04,England / SEPD,Basingstoke (T3 & T4) BSP,Bramley (Basi) GSP,N/A,BSP,132 / 33,51.269847,-1.067768,SU 65132 52712,,"11233, 15760, 15761",2 x 90MVA,No,40.40,12.31,35.67,21.05,54.68,Green,,5MW,0.00,69.71,Yes,0.00,25.00,12.70,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 05,E - BRLE (B) - 05,England / SEPD,Basingstoke Primary,Bramley (Basi) GSP,Basingstoke (T1A & T2A) BSP,Primary,33 / 11,51.269782,-1.0674396,SU 65155 52705,,87120,2 x 15 / 30MVA,No,9.95,1.43,2.04,0.00,16.24,Green,,5MW,0.07,0.00,Yes,0.00,13.10,12.27,Red,Upstream Thermal Capacity & Substation Fault Level & Upstream Fault Level Constraint,,,,
E - BRLE (B) - 06,E - BRLE (B) - 06,England / SEPD,Jays Close Primary,Bramley (Basi) GSP,Basingstoke (T1A & T2A) BSP,Primary,33 / 11,51.246642,-1.0979948,SU 63055 50105,,87140,2 x 12 / 24MVA,No,18.37,7.03,17.37,0.00,11.11,Green,,5MW,5.58,0.00,Yes,0.00,20.00,14.77,Red,Upstream Thermal Capacity & Upstream Fault Level Constraint,,,,
E - BRLE (B) - 07,E - BRLE (B) - 07,England / SEPD,Arborfield Primary,Bramley (Basi) GSP,Basingstoke (T1B & T2B) BSP,Primary,33 / 11,51.385867,-0.90996432,SU 75949 65766,,87118,2 x 12 / 24MVA,No,10.67,2.34,9.79,0.00,8.37,Green,,5MW,1.01,0.20,Yes,0.00,13.10,8.40,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 08,E - BRLE (B) - 08,England / SEPD,Bramley Green Primary,Bramley (Basi) GSP,Basingstoke (T1B & T2B) BSP,Primary,33 / 11,51.321716,-1.033725,SU 67431 58511,,87121,2 x 15MVA,No,4.63,0.91,0.83,0.00,11.18,Green,,5MW,0.00,0.00,Yes,0.00,25.00,6.44,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 09,E - BRLE (B) - 09,England / SEPD,Chineham Primary,Bramley (Basi) GSP,Basingstoke (T1B & T2B) BSP,Primary,33 / 11,51.297658,-1.0675922,SU 65105 55805,,87136,2 x 15 / 30MVA,No,12.03,2.99,6.98,0.00,15.99,Green,,5MW,12.70,0.70,Yes,0.00,25.00,9.95,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 10,E - BRLE (B) - 10,England / SEPD,Down Grange Primary,Bramley (Basi) GSP,Basingstoke (T1B & T2B) BSP,Primary,33 / 11,51.247996,-1.1187578,SU 61604 50238,,87123,2 x 30MVA,No,18.66,3.27,0.99,0.00,11.27,Green,,5MW,0.00,0.00,Yes,0.00,13.10,12.20,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - BRLE (B) - 11,E - BRLE (B) - 11,England / SEPD,Overton Primary,Bramley (Basi) GSP,Basingstoke (T1B & T2B) BSP,Primary,33 / 11,51.255014,-1.2553727,SU 52061 50913,,15508,2 x 15 / 30MVA,No,5.30,0.76,1.96,0.00,32.03,Green,,5MW,8.90,0.00,Yes,0.00,13.10,6.02,Red,Upstream Thermal Capacity,Reinforce the 33kV ,,,
E - BRLE (B) - 12,E - BRLE (B) - 12,England / SEPD,Brook Street Primary,Bramley (Basi) GSP,Basingstoke (T3 & T4) BSP,Primary,33 / 11,51.265682,-1.0915307,SU 63480 52228,,87122,2 x 15 / 30MVA,No,11.37,3.27,2.84,0.00,15.14,Green,,5MW,0.00,0.00,Yes,0.00,13.10,12.19,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - BRLE (B) - 13,E - BRLE (B) - 13,England / SEPD,Houndmills Primary,Bramley (Basi) GSP,Basingstoke (T3 & T4) BSP,Primary,33 / 11,51.27174,-1.1099464,SU 62187 52886,,"87125, 87126",2 x 20 / 40MVA,No,16.42,6.05,27.77,0.00,0.00,Red,Substation Thermal Capacity,5MW,0.00,0.00,Yes,0.00,25.00,10.13,Red,Upstream Thermal Capacity,,,,
E - BRLE (B) - 14,E - BRLE (B) - 14,England / SEPD,Oarkridge Primary,Bramley (Basi) GSP,Basingstoke (T3 & T4) BSP,Primary,33 / 11,51.278591,-1.0910467,SU 63496 53664,,87127,2 x 15 / 30MVA,No,9.54,2.23,5.06,0.00,15.47,Green,,5MW,0.00,0.00,Yes,0.00,13.10,8.76,Red,Upstream Thermal Capacity,,,,
E - CHIC - 01,E - CHIC - 01,England / SEPD,Chickerell GSP,N/A,N/A,GSP,400 / 132,50.622997,-2.4887893,SY 65520 80480,,"16062, 16063, 16064, 16065",2 x 240MVA,No,87.67,11.68,20.32,110.69,N/A,Green,,5MW,69.11,125.13,Yes,N/A,25.00,8.63,Red,Substation Thermal Capacity,,,,
