AssetID,GSP Grouping / Default Order,Map / License Area,Substation,Upstream GSP,Upstream BSP,Substation Type,Voltage (kV),Location Latitude,Location Longitude,Grid Reference,Substation Comment,LTDS CIM Nodes,Transformer Nameplate Ratings,Single Transformer Site,Maximum Observed Gross Demand (MVA),Minimum Observed Gross Demand (MVA),Contracted Demand Excl BESS (MVA),Contracted BESS Demand (MVA),Estimated Demand Headroom (MVA),Substation Demand RAG Status,Demand Constraint,TIA Threshold,Connected Generation (MW),Contracted Generation (MW),Technical Limits Agreed at GSP,Estimated Generation Headroom (MW),3-Phase Break Fault Rating (kA),3-Phase Break Fault Level (kA),Substation Generation RAG Status,Generation Constraint,Upstream Reinforcement Works,Upstream Reinforcement Completion Date,Substation Reinforcement Works,Substation Reinforcement Completion Date
E - IVES - 10,E - IVES - 10,England / SEPD,Clarence Road Primary,Iver 132kV GSP,Cippenham BSP,Primary,33 / 11,51.480746,-0.62393586,SU 95654 76652,,86347,2 x 17 / 21.5MVA + 1 x 15 / 30MVA,No,27.36,8.52,12.27,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.95,0.00,No,43.77,25.00,14.86,Green,,,,,
E - IVES - 11,E - IVES - 11,England / SEPD,Beaconsfield (Middle Busbars) Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.611789,-0.64847566,SU 93681 91194,,89786,2 x 10MVA,No,10.89,2.91,3.57,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.04,No,12.36,25.00,10.37,Green,,Move Beaconsfield Primary to Loudwater BSP via 2 new 33kV circuits,Mar-30,Replace all transformers in Beaconsfield Primary with 2 x 40MVA 33/11/6.6kV dual winding units and replace all switchgear,Mar-30
E - IVES - 12,E - IVES - 12,England / SEPD,Cokes Lane Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.66737,-0.56643504,SU 99240 97483,,89753,2 x 10 / 12.5MVA,No,5.65,1.35,0.65,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,13.22,13.10,12.06,Amber,Substation Fault Level,,,,
E - IVES - 13,E - IVES - 13,England / SEPD,Denham Avenue Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.568618,-0.50430999,TQ 03761 86587,,89841,2 x 10MVA,No,8.91,2.87,3.06,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,12.37,13.10,13.82,Red,Substation Fault Level,"Establish a new Denham B BSP including 2 x 90MVA transformers, transferring Denham Avenue Primary and Gerrards Cross Primary to the new BSP",Jun-30,,
E - IVES - 14,E - IVES - 14,England / SEPD,Gerrards Cross Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.581679,-0.5585536,SU 99973 87964,,89730,2 x 10 / 12.5MVA,No,12.77,3.55,1.76,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.00,0.00,No,15.42,25.00,14.81,Green,,"Establish a new Denham B BSP including 2 x 90MVA transformers, transferring Denham Avenue Primary and Gerrards Cross Primary to the new BSP",Jun-30,,
E - IVES - 15,E - IVES - 15,England / SEPD,Grassingham Road Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.608826,-0.55492123,TQ 00165 90988,,"89772, 89763",3 x 7.5 / 15MVA,No,12.49,3.04,1.13,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.05,0.00,No,16.66,13.10,10.32,Green,,,,,
E - IVES - 16,E - IVES - 16,England / SEPD,Harefield Primary,Iver 132kV GSP,Denham BSP,Primary,22 / 6.6,51.61028,-0.49947511,TQ 04001 91227,,89714,2 x 10 / 12.5MVA,No,5.31,1.34,0.65,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,14.91,25.00,9.47,Green,,,,,
E - IVES - 17,E - IVES - 17,England / SEPD,Bath Road West Primary,Iver 132kV GSP,Longford BSP,Primary,33 / 11,51.480449,-0.47763041,TQ 05814 76820,,86421,2 x 15 / 30MVA,No,13.00,5.50,8.14,3.79,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.31,1.90,No,21.52,13.10,9.52,Green,,,,,
E - IVES - 18,E - IVES - 18,England / SEPD,Poyle Primary,Iver 132kV GSP,Longford BSP,Primary,33 / 11,51.46952,-0.51239019,TQ 03425 75555,,86418,2 x 15 / 30MVA,No,16.72,5.00,7.93,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,33.50,25.00,11.94,Green,,,,,
E - IVES - 19,E - IVES - 19,England / SEPD,Farnham Royal Primary,Iver 132kV GSP,Slough BSP,Primary,33 / 11,51.536415,-0.62307975,SU 95597 82844,,86340,1 x 12 / 24MVA + 2 x 17 / 19.5MVA,No,24.24,3.49,8.94,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,39.69,25.00,10.85,Green,,,,,
E - IVES - 20,E - IVES - 20,England / SEPD,Taplow Primary,Iver 132kV GSP,Slough BSP,Primary,33 / 11,51.522585,-0.67936622,SU 91721 81234,,86334,2 x 15 / 30MVA,No,13.16,3.76,0.88,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,32.26,25.00,5.71,Green,,,,,
E - IVES - 21,E - IVES - 21,England / SEPD,Beaconsfield (End Busbars) Primary,Iver 132kV GSP,Upton BSP,Primary,22 / 6.6,51.611634,-0.64850651,SU 93679 91176,Headroom values for Beaconsfield account for both the Middle and End Busbar sections of the substation,"89782, 89778",2 x 5MVA,No,4.47,1.18,0.67,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,6.88,25.00,3.78,Green,,Move Beaconsfield Primary to Loudwater BSP via 2 new 33kV circuits,Mar-30,Replace all transformers in Beaconsfield Primary with 2 x 40MVA 33/11/6.6kV dual winding units and replace all switchgear,Mar-30
E - IVES - 22,E - IVES - 22,England / SEPD,Sutton Lane Primary,Iver 132kV GSP,Upton BSP,Primary,22 / 11,51.49707,-0.52935732,TQ 02185 78595,,89749,2 x 12 / 24MVA,No,8.89,3.33,1.67,0.00,0.00,Red,Upstream Thermal Capacity,5MW,3.85,0.00,No,22.11,25.00,7.93,Green,,,,,
E - IVES - 23,E - IVES - 23,England / SEPD,Upton Primary,Iver 132kV GSP,Upton BSP,Primary,22 / 11,51.50486,-0.54906267,TQ 00800 79434,,"89828, 89795",3 x 10MVA,No,19.04,4.71,4.68,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.62,0.00,No,28.32,13.10,11.67,Green,,,,,
E - LALE - 01,E - LALE - 01,England / SEPD,Laleham GSP,N/A,N/A,GSP,275 / 132,51.424589,-0.46933247,TQ 06520 70620,,"18010, 18011, 18012, 18013",4 x 240MVA (Shared with UKPN),No,273.01,109.18,141.52,463.16,N/A,Red,Substation Thermal Capacity,5MW,16.61,551.74,Yes,N/A,31.50,15.93,Red,Substation Thermal Capacity,"Transmission works:
Replace 4 x 180MVA transformers with 360MVA units",Mar-30,,
E - LALE - 02,E - LALE - 02,England / SEPD,East Bedfont BSP,Laleham GSP,N/A,BSP,132 / 22,51.453051,-0.4414092,TQ 08394 73826,,14940,2 x 30 / 60MVA,No,51.94,21.56,28.85,0.00,8.72,Green,,5MW,4.88,1.70,Yes,0.00,25.00,15.20,Red,Upstream Thermal Capacity,,,Replace both existing transformers with 90MVA units,Mar-28
E - LALE - 03,E - LALE - 03,England / SEPD,Staines BSP,Laleham GSP,N/A,BSP,132 / 33,51.453051,-0.4414092,TQ 08394 73826,,"23726, 23727, 23762, 23763",2 x 45 / 90MVA,No,114.96,35.35,35.42,52.63,37.23,Green,,5MW,11.33,100.05,Yes,0.00,31.50,15.58,Red,Upstream Thermal Capacity,Establish a new 132kV double busbar switchboard at Staines BSP,Mar-32,Add a 3rd 90MVA transformer,Mar-32
E - LALE - 04,E - LALE - 04,England / SEPD,East Bedfont Primary,Laleham GSP,N/A,Primary,132 / 11,51.438567,-0.49670597,TQ 04585 72135,,14948,1 x 20MVA + 1 x 20 / 40MVA,No,18.03,4.92,17.26,0.00,0.00,Red,Substation Thermal Capacity,5MW,0.40,0.00,Yes,0.00,25.00,12.69,Red,Upstream Thermal Capacity,,,Replace the existing 20MVA transformer with a 20 / 40MVA unit to match the other transformer,Dec-26
E - LALE - 05,E - LALE - 05,England / SEPD,Church Road Primary,Laleham GSP,East Bedfont BSP,Primary,22 / 11,51.434438,-0.46468734,TQ 06820 71722,,89685,2 x 10 / 12.5MVA,No,11.96,2.26,1.68,0.00,0.00,Red,Substation Thermal Capacity,5MW,0.13,0.00,Yes,0.00,13.10,8.14,Red,Upstream Thermal Capacity,,,,
E - LALE - 06,E - LALE - 06,England / SEPD,Feltham Primary,Laleham GSP,East Bedfont BSP,Primary,22 / 6.6,51.443496,-0.40958817,TQ 10628 72811,,"89659, 89666",3 x 10 / 12.5MVA,No,11.95,2.60,2.21,0.00,8.72,Green,,5MW,0.00,0.00,Yes,0.00,25.00,13.36,Red,Upstream Thermal Capacity,,,,
E - LALE - 07,E - LALE - 07,England / SEPD,Hope And Anchor Primary,Laleham GSP,East Bedfont BSP,Primary,22 / 6.6,51.436309,-0.37988329,TQ 12710 72057,,89690,2 x 10MVA,No,2.57,0.52,0.32,0.00,4.24,Green,,5MW,0.00,0.00,Yes,0.00,13.10,7.89,Red,Upstream Thermal Capacity,,,,
E - LALE - 08,E - LALE - 08,England / SEPD,North Feltham Primary,Laleham GSP,East Bedfont BSP,Primary,22 / 11,51.461977,-0.40377787,TQ 10987 74875,,89673,2 x 10 / 11.5MVA + 1 x 10 / 12.5MVA,No,17.64,6.92,6.64,0.00,0.50,Red,Substation Thermal Capacity,5MW,0.00,0.00,Yes,0.00,25.00,11.10,Red,Upstream Thermal Capacity,,,,
E - LALE - 09,E - LALE - 09,England / SEPD,Causeway Primary,Laleham GSP,Staines BSP,Primary,33 / 11,51.43481,-0.52304188,TQ 02763 71680,,86489,1 x 12 / 24MVA + 1 x 15 / 30MVA,No,17.95,5.53,6.54,0.00,24.63,Green,,5MW,5.93,0.00,Yes,0.00,25.00,21.29,Red,Upstream Thermal Capacity,,,,
