GROUP,GROUP_NUMBER,YEAR,SCENARIO,PRY GEN HEADROOM - INVERTER BASED ( MW ),PRY GEN HEADROOM - SYNCHRONOUS LV ( MW ),PRY GEN HEADROOM - SYNCHRONOUS HV ( MW ),PRY BATTERY HEADROOM ( MW),BSP GEN HEADROOM - INVERTER BASED ( MW ),BSP GEN HEADROOM - SYNCHRONOUS ( MW ),BSP BATTERY HEADROOM ( MW ),CENTROID_X,CENTROID_Y,geopoint
PRIMARY,301326,2028,6 - ACCELERATED DECARBONISATION,6.19,6.19,6.19,-0.25,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2030,1 - BEST VIEW,6.32,6.32,6.32,-0.52,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2030,3 - ELECTRIC ENGAGEMENT,6.36,6.36,6.36,-0.51,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2031,3 - ELECTRIC ENGAGEMENT,6.45,6.45,6.45,-0.61,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,2 - COUNTERFACTUAL,6.37,6.37,6.37,-0.46,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,3 - ELECTRIC ENGAGEMENT,6.51,6.51,6.51,-0.72,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,4 - HOLISTIC TRANSITION,6.38,6.38,6.38,-1.15,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2036,2 - COUNTERFACTUAL,6.5,6.5,6.5,-0.95,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2036,5 - HYDROGEN EVOLUTION,6.58,6.58,6.58,-0.81,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2039,2 - COUNTERFACTUAL,6.6,6.6,6.6,-1.33,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2039,3 - ELECTRIC ENGAGEMENT,6.95,6.95,6.95,-2.49,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2039,6 - ACCELERATED DECARBONISATION,6.87,6.87,6.87,-4.14,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2042,3 - ELECTRIC ENGAGEMENT,7.11,7.11,7.11,-3.4,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2042,6 - ACCELERATED DECARBONISATION,7.01,7.01,7.01,-5.08,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2046,6 - ACCELERATED DECARBONISATION,7.11,7.11,7.11,-5.79,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2051,1 - BEST VIEW,7.24,7.24,7.24,-5.66,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2051,3 - ELECTRIC ENGAGEMENT,7.3,7.3,7.3,-5.38,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2051,4 - HOLISTIC TRANSITION,7.1,7.1,7.1,-4.95,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2051,5 - HYDROGEN EVOLUTION,7.05,7.05,7.05,-1.92,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,400412,2024,3 - ELECTRIC ENGAGEMENT,23.86,12.77,9.32,10.29,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2024,4 - HOLISTIC TRANSITION,23.87,12.77,9.32,10.29,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2024,6 - ACCELERATED DECARBONISATION,23.86,12.77,9.32,10.29,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2025,2 - COUNTERFACTUAL,23.97,12.83,9.36,9.9,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2025,4 - HOLISTIC TRANSITION,23.93,12.63,9.21,9.41,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2025,6 - ACCELERATED DECARBONISATION,23.94,12.52,9.13,8.98,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2026,3 - ELECTRIC ENGAGEMENT,24.06,12.13,8.85,8.17,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2026,4 - HOLISTIC TRANSITION,24.01,12.45,9.08,8.66,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2026,5 - HYDROGEN EVOLUTION,24.03,12.48,9.1,8.86,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2027,1 - BEST VIEW,24.18,12.04,8.78,7.83,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2027,2 - COUNTERFACTUAL,24.18,12.85,9.37,9.44,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2027,5 - HYDROGEN EVOLUTION,24.11,12.19,8.89,8.29,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2028,1 - BEST VIEW,24.3,11.98,8.74,7.21,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2028,4 - HOLISTIC TRANSITION,24.17,12.06,8.8,7.38,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2029,1 - BEST VIEW,24.43,11.94,8.71,6.59,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2029,5 - HYDROGEN EVOLUTION,24.31,12.07,8.8,7.16,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2030,1 - BEST VIEW,24.57,11.78,8.59,5.97,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2030,4 - HOLISTIC TRANSITION,24.46,11.77,8.59,5.97,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2030,5 - HYDROGEN EVOLUTION,24.43,11.92,8.69,6.58,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2031,2 - COUNTERFACTUAL,24.64,12.26,8.94,8.46,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2032,1 - BEST VIEW,24.91,11.46,8.36,5.0,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2032,4 - HOLISTIC TRANSITION,24.84,11.28,8.23,4.37,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2033,2 - COUNTERFACTUAL,24.86,12.06,8.8,8.1,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2036,2 - COUNTERFACTUAL,25.24,11.74,8.56,7.55,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2039,2 - COUNTERFACTUAL,25.58,11.48,8.38,6.99,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2039,5 - HYDROGEN EVOLUTION,25.73,10.8,7.88,2.97,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2042,1 - BEST VIEW,26.33,9.94,7.25,0.12,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2042,2 - COUNTERFACTUAL,25.8,11.06,8.07,6.5,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2042,5 - HYDROGEN EVOLUTION,25.94,10.48,7.64,2.57,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2042,6 - ACCELERATED DECARBONISATION,26.4,9.34,6.82,-1.49,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2046,5 - HYDROGEN EVOLUTION,26.13,10.39,7.58,2.22,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,400412,2051,6 - ACCELERATED DECARBONISATION,26.59,8.79,6.41,-1.14,,,,355635.928398005,429429.519986258,"53.75932209338913, -2.674390869206627"
PRIMARY,301469,2024,1 - BEST VIEW,28.94,13.26,9.53,17.86,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2024,2 - COUNTERFACTUAL,28.94,13.26,9.53,17.86,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2024,4 - HOLISTIC TRANSITION,28.94,13.26,9.53,17.86,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2024,5 - HYDROGEN EVOLUTION,28.94,13.26,9.53,17.86,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2025,1 - BEST VIEW,29.03,13.13,9.44,17.63,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2025,2 - COUNTERFACTUAL,29.0,13.19,9.48,17.79,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2025,4 - HOLISTIC TRANSITION,28.97,13.15,9.45,17.7,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2026,6 - ACCELERATED DECARBONISATION,29.15,13.05,9.38,17.4,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2027,1 - BEST VIEW,29.37,12.98,9.33,17.34,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2027,3 - ELECTRIC ENGAGEMENT,29.36,12.92,9.28,17.3,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2027,5 - HYDROGEN EVOLUTION,29.23,13.02,9.36,17.53,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2028,1 - BEST VIEW,29.6,12.87,9.25,17.26,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2028,2 - COUNTERFACTUAL,29.31,13.0,9.34,17.53,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2028,3 - ELECTRIC ENGAGEMENT,29.59,12.78,9.18,17.22,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2028,5 - HYDROGEN EVOLUTION,29.39,12.92,9.28,17.49,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2028,6 - ACCELERATED DECARBONISATION,29.66,12.75,9.16,17.11,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2029,3 - ELECTRIC ENGAGEMENT,29.74,12.6,9.05,17.13,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2030,1 - BEST VIEW,29.95,12.64,9.08,17.05,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2030,3 - ELECTRIC ENGAGEMENT,29.87,12.59,9.05,17.03,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2030,5 - HYDROGEN EVOLUTION,29.79,12.7,9.13,17.33,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2031,3 - ELECTRIC ENGAGEMENT,29.97,12.52,9.0,16.92,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2031,6 - ACCELERATED DECARBONISATION,30.2,12.49,8.97,16.63,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2032,1 - BEST VIEW,30.35,12.56,9.03,16.67,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2032,2 - COUNTERFACTUAL,29.83,12.64,9.09,17.05,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2032,3 - ELECTRIC ENGAGEMENT,30.11,12.43,8.94,16.74,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2033,1 - BEST VIEW,30.56,12.5,8.98,16.42,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2033,2 - COUNTERFACTUAL,29.98,12.59,9.05,16.8,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2036,2 - COUNTERFACTUAL,30.54,12.41,8.92,15.98,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2036,4 - HOLISTIC TRANSITION,31.03,13.19,9.48,14.51,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2039,1 - BEST VIEW,31.85,11.92,8.57,13.39,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2042,5 - HYDROGEN EVOLUTION,31.9,11.99,8.62,13.52,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2046,1 - BEST VIEW,32.6,12.93,9.29,11.43,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2046,4 - HOLISTIC TRANSITION,32.03,12.21,8.78,11.65,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2046,5 - HYDROGEN EVOLUTION,32.21,13.25,9.52,12.69,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2046,6 - ACCELERATED DECARBONISATION,32.66,12.11,8.7,11.23,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2051,3 - ELECTRIC ENGAGEMENT,32.22,12.32,8.85,10.85,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2051,4 - HOLISTIC TRANSITION,31.97,12.05,8.66,11.73,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,301469,2051,5 - HYDROGEN EVOLUTION,32.27,13.09,9.41,12.45,,,,410071.097447023,376298.212966166,"53.28356304062401, -1.8504053415926642"
PRIMARY,400002,2024,1 - BEST VIEW,29.56,16.23,11.84,12.77,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2024,6 - ACCELERATED DECARBONISATION,29.56,16.23,11.84,12.77,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2025,1 - BEST VIEW,29.63,16.01,11.68,12.17,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2025,2 - COUNTERFACTUAL,29.59,16.11,11.75,12.58,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2025,6 - ACCELERATED DECARBONISATION,29.59,15.99,11.67,12.08,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2026,2 - COUNTERFACTUAL,29.66,16.2,11.82,12.41,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2026,3 - ELECTRIC ENGAGEMENT,29.74,15.95,11.64,11.64,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2026,4 - HOLISTIC TRANSITION,29.67,16.08,11.73,12.04,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2027,1 - BEST VIEW,29.86,15.92,11.62,11.51,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2027,6 - ACCELERATED DECARBONISATION,29.79,15.91,11.6,11.38,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2028,1 - BEST VIEW,30.01,15.77,11.51,11.39,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2028,6 - ACCELERATED DECARBONISATION,29.93,15.74,11.48,11.25,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2029,5 - HYDROGEN EVOLUTION,30.01,15.84,11.56,11.78,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2030,3 - ELECTRIC ENGAGEMENT,30.42,15.41,11.24,11.04,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2030,5 - HYDROGEN EVOLUTION,30.21,15.69,11.44,11.68,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2031,1 - BEST VIEW,30.74,15.44,11.27,11.01,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2031,2 - COUNTERFACTUAL,30.19,15.76,11.5,12.07,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2031,3 - ELECTRIC ENGAGEMENT,30.71,15.25,11.13,10.92,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2031,5 - HYDROGEN EVOLUTION,30.44,15.58,11.36,11.57,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2032,5 - HYDROGEN EVOLUTION,30.7,15.47,11.29,11.36,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2033,5 - HYDROGEN EVOLUTION,30.97,15.36,11.21,11.13,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2036,2 - COUNTERFACTUAL,31.14,15.55,11.34,11.16,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2039,2 - COUNTERFACTUAL,31.9,15.44,11.27,10.61,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2042,5 - HYDROGEN EVOLUTION,32.56,14.96,10.92,9.61,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2046,3 - ELECTRIC ENGAGEMENT,33.6,14.46,10.55,6.62,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2051,2 - COUNTERFACTUAL,32.92,15.71,11.46,9.31,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,400002,2051,4 - HOLISTIC TRANSITION,33.24,14.43,10.53,6.43,,,,369321.383800816,426282.032053189,"53.732021762446514, -2.4665064371290155"
PRIMARY,609906_11KV,2024,3 - ELECTRIC ENGAGEMENT,40.2,10.17,7.31,28.61,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2024,5 - HYDROGEN EVOLUTION,40.2,10.17,7.31,28.61,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2024,6 - ACCELERATED DECARBONISATION,40.2,10.17,7.31,28.61,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2025,2 - COUNTERFACTUAL,40.23,10.09,7.25,28.46,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2025,3 - ELECTRIC ENGAGEMENT,40.24,10.0,7.18,28.49,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2026,3 - ELECTRIC ENGAGEMENT,40.3,9.67,6.95,27.77,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2026,4 - HOLISTIC TRANSITION,40.21,9.79,7.04,28.05,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2026,5 - HYDROGEN EVOLUTION,40.27,9.8,7.05,27.79,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2027,2 - COUNTERFACTUAL,40.32,9.62,6.92,28.15,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2027,4 - HOLISTIC TRANSITION,40.84,9.34,6.71,26.78,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2028,2 - COUNTERFACTUAL,40.38,9.35,6.72,27.96,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2028,6 - ACCELERATED DECARBONISATION,43.78,8.5,6.11,22.99,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2029,4 - HOLISTIC TRANSITION,44.7,8.09,5.82,21.49,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2029,6 - ACCELERATED DECARBONISATION,44.78,8.01,5.76,21.25,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2030,4 - HOLISTIC TRANSITION,44.58,7.6,5.47,20.84,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2030,5 - HYDROGEN EVOLUTION,40.5,8.35,6.0,24.96,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2030,6 - ACCELERATED DECARBONISATION,44.66,7.5,5.39,20.55,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2032,5 - HYDROGEN EVOLUTION,42.86,7.48,5.38,22.44,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2033,2 - COUNTERFACTUAL,40.76,8.5,6.11,26.81,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2033,4 - HOLISTIC TRANSITION,37.81,6.23,4.47,19.12,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2033,5 - HYDROGEN EVOLUTION,42.88,7.4,5.32,22.33,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2036,4 - HOLISTIC TRANSITION,32.96,5.43,3.9,17.13,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2039,2 - COUNTERFACTUAL,41.12,8.03,5.77,25.63,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2039,3 - ELECTRIC ENGAGEMENT,34.21,5.63,4.05,17.51,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2039,5 - HYDROGEN EVOLUTION,41.44,6.82,4.9,21.21,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2042,1 - BEST VIEW,35.12,5.78,4.16,16.72,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2042,2 - COUNTERFACTUAL,41.28,7.83,5.63,25.1,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2042,4 - HOLISTIC TRANSITION,24.87,4.09,2.94,13.38,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2046,2 - COUNTERFACTUAL,41.85,7.61,5.47,24.13,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,609906_11KV,2046,3 - ELECTRIC ENGAGEMENT,27.3,4.49,3.23,14.08,,,,348239.354954651,461456.512896254,"54.04646303650641, -2.7919980672757125"
PRIMARY,302196,2024,3 - ELECTRIC ENGAGEMENT,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2024,4 - HOLISTIC TRANSITION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2024,5 - HYDROGEN EVOLUTION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2024,6 - ACCELERATED DECARBONISATION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2026,3 - ELECTRIC ENGAGEMENT,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2026,6 - ACCELERATED DECARBONISATION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2027,1 - BEST VIEW,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2027,4 - HOLISTIC TRANSITION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2027,5 - HYDROGEN EVOLUTION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2027,6 - ACCELERATED DECARBONISATION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2028,2 - COUNTERFACTUAL,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2028,3 - ELECTRIC ENGAGEMENT,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2028,6 - ACCELERATED DECARBONISATION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2029,2 - COUNTERFACTUAL,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2029,3 - ELECTRIC ENGAGEMENT,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2029,5 - HYDROGEN EVOLUTION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2029,6 - ACCELERATED DECARBONISATION,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2030,2 - COUNTERFACTUAL,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
PRIMARY,302196,2030,3 - ELECTRIC ENGAGEMENT,2.68,0.44,0.32,2.68,,,,390396.951844568,377027.732736744,"53.29012489529735, -2.1455171004670968"
