Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
HENDERSON ROW,11.0,HT,2047,2047/48,3.138343459149141,Demand,SHRUBHILL,HENDERSON ROW
HENDERSON ROW,11.0,HT,2048,2048/49,2.886367054793038,Demand,SHRUBHILL,HENDERSON ROW
HIGH BLANTYRE,11.0,EE,2035,2035/36,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2039,2039/40,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2041,2041/42,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2042,2042/43,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2044,2044/45,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2046,2046/47,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2047,2047/48,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,EE,2048,2048/49,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HE,2042,2042/43,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HE,2047,2047/48,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2031,2031/32,1.55802131038924,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2032,2032/33,0.1124098136032892,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2033,2033/34,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2039,2039/40,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2040,2040/41,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2045,2045/46,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH BLANTYRE,11.0,HT,2049,2049/50,0.0,Demand,EAST KILBRIDE,HIGH BLANTYRE
HIGH MAINS MILTON,11.0,EE,2035,2035/36,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,EE,2040,2040/41,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
