district,year,month,month_name,delta_T_mean,baseline_hdd_per_day,projected_hdd_per_day,hdd_reduction
East Anglia,2026,1,January,-0.0139,10.8351,10.8491,-0.0139
East Anglia,2026,2,February,0.7191,8.5252,7.8095,0.7157
East Anglia,2026,3,March,1.4571,7.4623,6.0078,1.4545
East Anglia,2026,4,April,0.9061,5.5199,4.6232,0.8967
East Anglia,2026,5,May,1.2827,3.006,1.882,1.1239
East Anglia,2026,6,June,1.5832,1.2732,0.3575,0.9157
East Anglia,2026,7,July,1.4135,0.5933,0.0421,0.5512
East Anglia,2026,8,August,1.7389,0.4995,0.0084,0.4911
East Anglia,2026,9,September,1.9788,1.5266,0.429,1.0977
East Anglia,2026,10,October,1.7623,3.7141,2.1561,1.558
East Anglia,2026,11,November,1.3233,7.2963,6.0134,1.283
East Anglia,2026,12,December,0.3743,7.9269,7.5533,0.3737
East Anglia,2027,1,January,0.6771,10.8351,10.1582,0.6769
East Anglia,2027,2,February,0.6791,8.5252,7.8492,0.676
East Anglia,2027,3,March,1.3384,7.4623,6.126,1.3363
East Anglia,2027,4,April,1.3187,5.5199,4.2195,1.3004
East Anglia,2027,5,May,0.9975,3.006,2.1164,0.8896
East Anglia,2027,6,June,1.3665,1.2732,0.4429,0.8303
East Anglia,2027,7,July,1.1896,0.5933,0.0738,0.5195
East Anglia,2027,8,August,2.1146,0.4995,0.002,0.4975
East Anglia,2027,9,September,1.8641,1.5266,0.4701,1.0565
East Anglia,2027,10,October,1.2151,3.7141,2.6105,1.1036
East Anglia,2027,11,November,1.5063,7.2963,5.839,1.4573
East Anglia,2027,12,December,1.8177,7.9269,6.1172,1.8097
East Anglia,2028,1,January,0.7472,10.8351,10.0881,0.747
East Anglia,2028,2,February,1.3121,8.5252,7.2215,1.3036
East Anglia,2028,3,March,0.8653,7.4623,6.5979,0.8644
East Anglia,2028,4,April,0.5366,5.5199,4.9876,0.5323
East Anglia,2028,5,May,1.3759,3.006,1.8079,1.1981
East Anglia,2028,6,June,1.6861,1.2732,0.3213,0.9518
East Anglia,2028,7,July,1.9927,0.5933,0.0074,0.5859
East Anglia,2028,8,August,1.8693,0.4995,0.0052,0.4943
East Anglia,2028,9,September,1.6649,1.5266,0.548,0.9786
East Anglia,2028,10,October,1.9834,3.7141,1.9826,1.7315
East Anglia,2028,11,November,1.5017,7.2963,5.8434,1.4529
East Anglia,2028,12,December,1.1205,7.9269,6.8094,1.1175
East Anglia,2029,1,January,0.9363,10.8351,9.8991,0.936
East Anglia,2029,2,February,0.4031,8.5252,8.1237,0.4015
East Anglia,2029,3,March,0.8312,7.4623,6.632,0.8303
East Anglia,2029,4,April,1.6601,5.5199,3.889,1.6308
East Anglia,2029,5,May,1.4487,3.006,1.7509,1.2551
East Anglia,2029,6,June,2.4402,1.2732,0.1324,1.1407
East Anglia,2029,7,July,2.3963,0.5933,0.0017,0.5916
East Anglia,2029,8,August,2.2863,0.4995,0.001,0.4985
East Anglia,2029,9,September,1.2422,1.5266,0.7413,0.7853
East Anglia,2029,10,October,1.2769,3.7141,2.5575,1.1566
East Anglia,2029,11,November,0.992,7.2963,6.3311,0.9652
East Anglia,2029,12,December,1.396,7.9269,6.5355,1.3915
East Anglia,2030,1,January,1.1323,10.8351,9.7032,1.1319
East Anglia,2030,2,February,1.2163,8.5252,7.3164,1.2088
East Anglia,2030,3,March,1.0526,7.4623,6.411,1.0513
East Anglia,2030,4,April,1.0973,5.5199,4.4356,1.0843
East Anglia,2030,5,May,1.6485,3.006,1.5986,1.4074
East Anglia,2030,6,June,0.9852,1.2732,0.6243,0.6489
East Anglia,2030,7,July,2.0062,0.5933,0.0071,0.5863
East Anglia,2030,8,August,2.3349,0.4995,0.0008,0.4987
East Anglia,2030,9,September,1.5901,1.5266,0.5794,0.9472
East Anglia,2030,10,October,1.4233,3.7141,2.4337,1.2804
East Anglia,2030,11,November,1.1185,7.2963,6.2095,1.0869
East Anglia,2030,12,December,1.0288,7.9269,6.9008,1.0262
East Anglia,2031,1,January,1.0969,10.8351,9.7386,1.0965
East Anglia,2031,2,February,0.6628,8.5252,7.8655,0.6597
East Anglia,2031,3,March,1.2009,7.4623,6.2631,1.1992
East Anglia,2031,4,April,0.8871,5.5199,4.6418,0.8781
East Anglia,2031,5,May,1.7944,3.006,1.4915,1.5145
East Anglia,2031,6,June,0.7216,1.2732,0.7733,0.4999
East Anglia,2031,7,July,2.0441,0.5933,0.0062,0.5871
East Anglia,2031,8,August,1.9281,0.4995,0.0042,0.4953
East Anglia,2031,9,September,2.2196,1.5266,0.3511,1.1755
East Anglia,2031,10,October,1.875,3.7141,2.0669,1.6472
East Anglia,2031,11,November,1.199,7.2963,6.1323,1.1641
East Anglia,2031,12,December,2.149,7.9269,5.7898,2.1371
East Anglia,2032,1,January,0.7635,10.8351,10.0719,0.7632
East Anglia,2032,2,February,0.7181,8.5252,7.8105,0.7147
East Anglia,2032,3,March,1.0008,7.4623,6.4626,0.9997
East Anglia,2032,4,April,0.7821,5.5199,4.7452,0.7746
East Anglia,2032,5,May,1.4919,3.006,1.7174,1.2885
East Anglia,2032,6,June,1.6266,1.2732,0.3419,0.9312
East Anglia,2032,7,July,2.228,0.5933,0.0032,0.5901
East Anglia,2032,8,August,1.7078,0.4995,0.0094,0.4902
East Anglia,2032,9,September,2.1437,1.5266,0.3744,1.1522
East Anglia,2032,10,October,1.7723,3.7141,2.1481,1.566
East Anglia,2032,11,November,0.6474,7.2963,6.6644,0.6319
East Anglia,2032,12,December,1.2054,7.9269,6.725,1.2019
East Anglia,2033,1,January,1.0994,10.8351,9.7361,1.099
East Anglia,2033,2,February,1.0396,8.5252,7.4914,1.0338
East Anglia,2033,3,March,0.658,7.4623,6.8049,0.6574
East Anglia,2033,4,April,1.1903,5.5199,4.3446,1.1752
East Anglia,2033,5,May,1.2579,3.006,1.902,1.104
East Anglia,2033,6,June,2.6434,1.2732,0.1009,1.1723
East Anglia,2033,7,July,2.1339,0.5933,0.0045,0.5888
East Anglia,2033,8,August,3.2315,0.4995,0.0,0.4995
East Anglia,2033,9,September,1.8749,1.5266,0.4661,1.0605
East Anglia,2033,10,October,1.7373,3.7141,2.1761,1.538
East Anglia,2033,11,November,1.5245,7.2963,5.8218,1.4746
East Anglia,2033,12,December,1.1682,7.9269,6.762,1.165
East Anglia,2034,1,January,0.1683,10.8351,10.6669,0.1682
East Anglia,2034,2,February,0.3068,8.5252,8.2196,0.3056
East Anglia,2034,3,March,0.8341,7.4623,6.629,0.8333
East Anglia,2034,4,April,1.2441,5.5199,4.2921,1.2277
East Anglia,2034,5,May,1.6954,3.006,1.5637,1.4422
East Anglia,2034,6,June,1.7766,1.2732,0.2917,0.9814
East Anglia,2034,7,July,1.9457,0.5933,0.0087,0.5847
East Anglia,2034,8,August,2.2964,0.4995,0.0009,0.4986
East Anglia,2034,9,September,2.3111,1.5266,0.3244,1.2022
East Anglia,2034,10,October,2.2379,3.7141,1.791,1.9231
East Anglia,2034,11,November,1.1691,7.2963,6.1609,1.1354
East Anglia,2034,12,December,1.0528,7.9269,6.8768,1.0501
East Anglia,2035,1,January,1.1049,10.8351,9.7306,1.1045
East Anglia,2035,2,February,1.3506,8.5252,7.1835,1.3417
East Anglia,2035,3,March,1.409,7.4623,6.0557,1.4066
East Anglia,2035,4,April,1.1741,5.5199,4.3605,1.1594
East Anglia,2035,5,May,1.543,3.006,1.6782,1.3278
East Anglia,2035,6,June,1.2826,1.2732,0.4793,0.7939
East Anglia,2035,7,July,1.5368,0.5933,0.0301,0.5632
East Anglia,2035,8,August,2.3648,0.4995,0.0007,0.4988
East Anglia,2035,9,September,1.8117,1.5266,0.4898,1.0368
East Anglia,2035,10,October,1.6464,3.7141,2.2495,1.4646
East Anglia,2035,11,November,1.7489,7.2963,5.6094,1.6869
East Anglia,2035,12,December,0.8926,7.9269,7.0363,0.8906
East Anglia,2036,1,January,1.1903,10.8351,9.6453,1.1899
East Anglia,2036,2,February,1.6747,8.5252,6.8635,1.6617
East Anglia,2036,3,March,1.4756,7.4623,5.9894,1.473
East Anglia,2036,4,April,1.442,5.5199,4.0996,1.4202
East Anglia,2036,5,May,1.425,3.006,1.7693,1.2366
East Anglia,2036,6,June,2.4895,1.2732,0.1241,1.149
East Anglia,2036,7,July,1.9213,0.5933,0.0094,0.584
East Anglia,2036,8,August,2.3743,0.4995,0.0007,0.4989
East Anglia,2036,9,September,2.5135,1.5266,0.2707,1.2559
East Anglia,2036,10,October,2.0682,3.7141,1.9177,1.7964
East Anglia,2036,11,November,2.1686,7.2963,5.217,2.0794
East Anglia,2036,12,December,0.445,7.9269,7.4827,0.4443
East Anglia,2037,1,January,0.5089,10.8351,10.3264,0.5087
East Anglia,2037,2,February,0.9289,8.5252,7.6011,0.924
East Anglia,2037,3,March,1.4399,7.4623,6.0249,1.4374
East Anglia,2037,4,April,2.0077,5.5199,3.5571,1.9627
East Anglia,2037,5,May,1.3691,3.006,1.8133,1.1927
East Anglia,2037,6,June,1.4175,1.2732,0.4216,0.8515
East Anglia,2037,7,July,1.6555,0.5933,0.0215,0.5719
East Anglia,2037,8,August,1.9825,0.4995,0.0034,0.4961
East Anglia,2037,9,September,1.8029,1.5266,0.4932,1.0334
East Anglia,2037,10,October,1.9744,3.7141,1.9895,1.7246
East Anglia,2037,11,November,2.1223,7.2963,5.26,2.0364
East Anglia,2037,12,December,1.614,7.9269,6.319,1.6079
East Anglia,2038,1,January,1.5495,10.8351,9.2864,1.5488
East Anglia,2038,2,February,1.5066,8.5252,7.0293,1.4959
East Anglia,2038,3,March,1.2328,7.4623,6.2312,1.2311
East Anglia,2038,4,April,1.6455,5.5199,3.9031,1.6168
East Anglia,2038,5,May,1.7756,3.006,1.505,1.5009
East Anglia,2038,6,June,2.2324,1.2732,0.1723,1.1009
East Anglia,2038,7,July,2.5976,0.5933,0.0007,0.5926
East Anglia,2038,8,August,2.3683,0.4995,0.0007,0.4988
East Anglia,2038,9,September,2.2966,1.5266,0.3285,1.1981
East Anglia,2038,10,October,2.6501,3.7141,1.5008,2.2133
East Anglia,2038,11,November,1.706,7.2963,5.6499,1.6465
East Anglia,2038,12,December,1.5975,7.9269,6.3354,1.5915
East Anglia,2039,1,January,1.3956,10.8351,9.4402,1.395
East Anglia,2039,2,February,0.6733,8.5252,7.855,0.6702
East Anglia,2039,3,March,1.3316,7.4623,6.1328,1.3295
East Anglia,2039,4,April,1.3485,5.5199,4.1904,1.3294
East Anglia,2039,5,May,1.6683,3.006,1.5838,1.4221
East Anglia,2039,6,June,2.1475,1.2732,0.1911,1.0821
East Anglia,2039,7,July,2.1295,0.5933,0.0046,0.5887
East Anglia,2039,8,August,2.7676,0.4995,0.0001,0.4994
East Anglia,2039,9,September,2.3502,1.5266,0.3134,1.2132
East Anglia,2039,10,October,1.8991,3.7141,2.048,1.6661
East Anglia,2039,11,November,1.6141,7.2963,5.7368,1.5596
East Anglia,2039,12,December,0.76,7.9269,7.1686,0.7584
East Anglia,2040,1,January,0.8878,10.8351,9.9475,0.8876
East Anglia,2040,2,February,1.6401,8.5252,6.8976,1.6276
East Anglia,2040,3,March,1.6053,7.4623,5.8602,1.6021
East Anglia,2040,4,April,1.5119,5.5199,4.032,1.4879
East Anglia,2040,5,May,1.9416,3.006,1.387,1.6189
East Anglia,2040,6,June,2.0707,1.2732,0.2093,1.0638
East Anglia,2040,7,July,2.4948,0.5933,0.0011,0.5922
East Anglia,2040,8,August,2.6571,0.4995,0.0002,0.4993
East Anglia,2040,9,September,2.2265,1.5266,0.349,1.1776
East Anglia,2040,10,October,2.5422,3.7141,1.5742,2.1399
East Anglia,2040,11,November,1.9369,7.2963,5.4329,1.8635
East Anglia,2040,12,December,1.425,7.9269,6.5067,1.4202
East Anglia,2041,1,January,1.1919,10.8351,9.6437,1.1914
East Anglia,2041,2,February,1.7351,8.5252,6.804,1.7212
East Anglia,2041,3,March,1.0218,7.4623,6.4417,1.0206
East Anglia,2041,4,April,0.8202,5.5199,4.7077,0.8122
East Anglia,2041,5,May,2.178,3.006,1.2275,1.7784
East Anglia,2041,6,June,2.9144,1.2732,0.0686,1.2046
East Anglia,2041,7,July,2.1081,0.5933,0.005,0.5884
East Anglia,2041,8,August,2.9292,0.4995,0.0,0.4995
East Anglia,2041,9,September,3.11,1.5266,0.1514,1.3752
East Anglia,2041,10,October,2.3452,3.7141,1.713,2.0011
East Anglia,2041,11,November,1.8138,7.2963,5.5483,1.748
East Anglia,2041,12,December,1.7112,7.9269,6.2227,1.7043
East Anglia,2042,1,January,1.988,10.8351,8.8484,1.9867
East Anglia,2042,2,February,2.0507,8.5252,6.4939,2.0313
East Anglia,2042,3,March,1.5306,7.4623,5.9346,1.5277
East Anglia,2042,4,April,1.7312,5.5199,3.8207,1.6992
East Anglia,2042,5,May,1.4171,3.006,1.7755,1.2304
East Anglia,2042,6,June,1.8912,1.2732,0.2572,1.016
East Anglia,2042,7,July,2.5012,0.5933,0.0011,0.5922
East Anglia,2042,8,August,2.4433,0.4995,0.0005,0.499
East Anglia,2042,9,September,2.7886,1.5266,0.209,1.3176
East Anglia,2042,10,October,2.056,3.7141,1.927,1.7871
East Anglia,2042,11,November,1.8171,7.2963,5.5452,1.7511
East Anglia,2042,12,December,2.1531,7.9269,5.7858,2.1412
East Anglia,2043,1,January,1.6158,10.8351,9.2201,1.615
East Anglia,2043,2,February,1.0776,8.5252,7.4537,1.0714
East Anglia,2043,3,March,0.8088,7.4623,6.6543,0.808
East Anglia,2043,4,April,1.7633,5.5199,3.7899,1.73
East Anglia,2043,5,May,2.0877,3.006,1.2872,1.7188
East Anglia,2043,6,June,2.0666,1.2732,0.2104,1.0628
East Anglia,2043,7,July,2.4234,0.5933,0.0015,0.5918
East Anglia,2043,8,August,2.9691,0.4995,0.0,0.4995
East Anglia,2043,9,September,2.6528,1.5266,0.2379,1.2887
East Anglia,2043,10,October,1.9837,3.7141,1.9824,1.7317
East Anglia,2043,11,November,1.7756,7.2963,5.5843,1.712
East Anglia,2043,12,December,2.2344,7.9269,5.7057,2.2212
East Anglia,2044,1,January,1.5107,10.8351,9.3251,1.51
East Anglia,2044,2,February,1.5239,8.5252,7.0122,1.513
East Anglia,2044,3,March,1.8238,7.4623,5.643,1.8193
East Anglia,2044,4,April,1.9561,5.5199,3.606,1.9139
East Anglia,2044,5,May,1.7288,3.006,1.5392,1.4668
East Anglia,2044,6,June,2.3041,1.2732,0.1576,1.1155
East Anglia,2044,7,July,2.7168,0.5933,0.0004,0.5929
East Anglia,2044,8,August,2.9816,0.4995,0.0,0.4995
East Anglia,2044,9,September,2.6575,1.5266,0.2369,1.2897
East Anglia,2044,10,October,2.8582,3.7141,1.3643,2.3498
East Anglia,2044,11,November,2.0642,7.2963,5.314,1.9823
East Anglia,2044,12,December,1.4147,7.9269,6.5169,1.4101
East Anglia,2045,1,January,1.8813,10.8351,8.955,1.8801
East Anglia,2045,2,February,1.5677,8.5252,6.9689,1.5562
East Anglia,2045,3,March,1.1828,7.4623,6.2811,1.1812
East Anglia,2045,4,April,1.8452,5.5199,3.7116,1.8082
East Anglia,2045,5,May,2.1268,3.006,1.2612,1.7448
East Anglia,2045,6,June,2.3207,1.2732,0.1544,1.1188
East Anglia,2045,7,July,3.1683,0.5933,0.0001,0.5933
East Anglia,2045,8,August,2.7082,0.4995,0.0001,0.4994
East Anglia,2045,9,September,2.8092,1.5266,0.2048,1.3218
East Anglia,2045,10,October,2.5218,3.7141,1.5883,2.1258
East Anglia,2045,11,November,1.4897,7.2963,5.8547,1.4416
East Anglia,2045,12,December,1.2213,7.9269,6.7092,1.2178
East Anglia,2046,1,January,1.5212,10.8351,9.3146,1.5205
East Anglia,2046,2,February,1.7151,8.5252,6.8237,1.7015
East Anglia,2046,3,March,1.348,7.4623,6.1164,1.3459
East Anglia,2046,4,April,1.4548,5.5199,4.0873,1.4326
East Anglia,2046,5,May,2.1734,3.006,1.2305,1.7754
East Anglia,2046,6,June,1.8722,1.2732,0.2627,1.0104
East Anglia,2046,7,July,2.5828,0.5933,0.0008,0.5925
East Anglia,2046,8,August,2.8402,0.4995,0.0001,0.4995
East Anglia,2046,9,September,3.1295,1.5266,0.1484,1.3782
East Anglia,2046,10,October,3.1649,3.7141,1.1764,2.5377
East Anglia,2046,11,November,2.2445,7.2963,5.1467,2.1496
East Anglia,2046,12,December,1.7649,7.9269,6.1695,1.7575
East Anglia,2047,1,January,1.4077,10.8351,9.428,1.4071
East Anglia,2047,2,February,1.6638,8.5252,6.8743,1.6509
East Anglia,2047,3,March,2.0826,7.4623,5.3862,2.0762
East Anglia,2047,4,April,2.2768,5.5199,3.3042,2.2156
East Anglia,2047,5,May,2.4699,3.006,1.0451,1.9609
East Anglia,2047,6,June,2.29,1.2732,0.1604,1.1127
East Anglia,2047,7,July,2.803,0.5933,0.0003,0.593
East Anglia,2047,8,August,3.2372,0.4995,0.0,0.4995
East Anglia,2047,9,September,3.2736,1.5266,0.1274,1.3992
East Anglia,2047,10,October,3.101,3.7141,1.2142,2.4999
East Anglia,2047,11,November,2.4049,7.2963,4.999,2.2973
East Anglia,2047,12,December,1.2872,7.9269,6.6436,1.2834
East Anglia,2048,1,January,1.5609,10.8351,9.275,1.5602
East Anglia,2048,2,February,1.3297,8.5252,7.2041,1.3211
East Anglia,2048,3,March,1.779,7.4623,5.6875,1.7748
East Anglia,2048,4,April,1.3815,5.5199,4.1584,1.3615
East Anglia,2048,5,May,1.685,3.006,1.5714,1.4346
East Anglia,2048,6,June,2.2045,1.2732,0.1783,1.0949
East Anglia,2048,7,July,2.2116,0.5933,0.0034,0.5899
East Anglia,2048,8,August,2.9409,0.4995,0.0,0.4995
East Anglia,2048,9,September,3.1957,1.5266,0.1384,1.3882
East Anglia,2048,10,October,3.123,3.7141,1.2011,2.513
East Anglia,2048,11,November,1.9349,7.2963,5.4348,1.8616
East Anglia,2048,12,December,1.0496,7.9269,6.8801,1.0469
East Anglia,2049,1,January,2.4503,10.8351,8.3872,2.4479
East Anglia,2049,2,February,1.9363,8.5252,6.6061,1.919
East Anglia,2049,3,March,2.1933,7.4623,5.2765,2.1858
East Anglia,2049,4,April,1.8353,5.5199,3.7211,1.7988
East Anglia,2049,5,May,2.4919,3.006,1.032,1.974
East Anglia,2049,6,June,3.1928,1.2732,0.0449,1.2283
East Anglia,2049,7,July,3.1511,0.5933,0.0001,0.5933
East Anglia,2049,8,August,3.4762,0.4995,0.0,0.4995
East Anglia,2049,9,September,3.3038,1.5266,0.1234,1.4033
East Anglia,2049,10,October,2.6317,3.7141,1.5132,2.2009
East Anglia,2049,11,November,2.4587,7.2963,4.9497,2.3466
East Anglia,2049,12,December,1.9647,7.9269,5.9718,1.9551
East Anglia,2050,1,January,2.4493,10.8351,8.3881,2.447
East Anglia,2050,2,February,1.091,8.5252,7.4404,1.0847
East Anglia,2050,3,March,0.8496,7.4623,6.6136,0.8487
East Anglia,2050,4,April,2.0195,5.5199,3.5459,1.9739
East Anglia,2050,5,May,2.1098,3.006,1.2725,1.7335
East Anglia,2050,6,June,2.5093,1.2732,0.1209,1.1522
East Anglia,2050,7,July,2.5018,0.5933,0.0011,0.5922
East Anglia,2050,8,August,3.4954,0.4995,0.0,0.4995
East Anglia,2050,9,September,3.7485,1.5266,0.0747,1.4519
East Anglia,2050,10,October,3.2705,3.7141,1.1154,2.5987
East Anglia,2050,11,November,2.7612,7.2963,4.6751,2.6213
East Anglia,2050,12,December,2.0719,7.9269,5.8659,2.061
East Anglia,2051,1,January,1.9173,10.8351,8.9191,1.916
East Anglia,2051,2,February,1.7965,8.5252,6.7435,1.7816
East Anglia,2051,3,March,1.7015,7.4623,5.7646,1.6977
East Anglia,2051,4,April,1.4249,5.5199,4.1162,1.4036
East Anglia,2051,5,May,1.7066,3.006,1.5555,1.4505
East Anglia,2051,6,June,2.9534,1.2732,0.0648,1.2084
East Anglia,2051,7,July,2.8752,0.5933,0.0002,0.5931
East Anglia,2051,8,August,3.6815,0.4995,0.0,0.4995
East Anglia,2051,9,September,2.8136,1.5266,0.204,1.3226
East Anglia,2051,10,October,2.8831,3.7141,1.3484,2.3656
East Anglia,2051,11,November,2.2144,7.2963,5.1746,2.1218
East Anglia,2051,12,December,1.7731,7.9269,6.1614,1.7655
East Anglia,2052,1,January,1.7052,10.8351,9.1309,1.7042
East Anglia,2052,2,February,1.7408,8.5252,6.7983,1.7269
East Anglia,2052,3,March,1.856,7.4623,5.611,1.8514
East Anglia,2052,4,April,2.209,5.5199,3.3676,2.1523
East Anglia,2052,5,May,2.9754,3.006,0.7692,2.2368
East Anglia,2052,6,June,2.6337,1.2732,0.1023,1.1709
East Anglia,2052,7,July,3.8805,0.5933,0.0,0.5933
East Anglia,2052,8,August,4.2658,0.4995,0.0,0.4995
East Anglia,2052,9,September,3.5539,1.5266,0.0936,1.433
East Anglia,2052,10,October,3.3167,3.7141,1.0893,2.6248
East Anglia,2052,11,November,2.833,7.2963,4.6104,2.6859
East Anglia,2052,12,December,2.4355,7.9269,5.5079,2.419
East Anglia,2053,1,January,1.9748,10.8351,8.8616,1.9735
East Anglia,2053,2,February,1.4301,8.5252,7.1048,1.4203
East Anglia,2053,3,March,1.9851,7.4623,5.4828,1.9795
East Anglia,2053,4,April,2.8354,5.5199,2.7943,2.7255
East Anglia,2053,5,May,2.229,3.006,1.1945,1.8115
East Anglia,2053,6,June,2.9952,1.2732,0.0608,1.2123
East Anglia,2053,7,July,3.5821,0.5933,0.0,0.5933
East Anglia,2053,8,August,3.6476,0.4995,0.0,0.4995
East Anglia,2053,9,September,3.8462,1.5266,0.0665,1.4601
East Anglia,2053,10,October,3.0352,3.7141,1.2539,2.4602
East Anglia,2053,11,November,2.3651,7.2963,5.0356,2.2608
East Anglia,2053,12,December,1.4319,7.9269,6.4998,1.4271
East Anglia,2054,1,January,1.8734,10.8351,8.9628,1.8723
East Anglia,2054,2,February,0.5289,8.5252,7.9986,0.5266
East Anglia,2054,3,March,1.9305,7.4623,5.537,1.9253
East Anglia,2054,4,April,1.635,5.5199,3.9131,1.6068
East Anglia,2054,5,May,2.8791,3.006,0.8178,2.1882
East Anglia,2054,6,June,2.1352,1.2732,0.1939,1.0792
East Anglia,2054,7,July,3.9279,0.5933,0.0,0.5933
East Anglia,2054,8,August,3.5523,0.4995,0.0,0.4995
East Anglia,2054,9,September,2.9982,1.5266,0.1698,1.3568
East Anglia,2054,10,October,2.9156,3.7141,1.328,2.3861
East Anglia,2054,11,November,2.6672,7.2963,4.7599,2.5364
East Anglia,2054,12,December,2.6376,7.9269,5.3099,2.617
East Anglia,2055,1,January,2.1181,10.8351,8.7186,2.1165
East Anglia,2055,2,February,2.3089,8.5252,6.2413,2.2839
East Anglia,2055,3,March,1.791,7.4623,5.6756,1.7867
East Anglia,2055,4,April,2.059,5.5199,3.5086,2.0113
East Anglia,2055,5,May,2.799,3.006,0.8596,2.1463
East Anglia,2055,6,June,3.3129,1.2732,0.037,1.2361
East Anglia,2055,7,July,3.4484,0.5933,0.0,0.5933
East Anglia,2055,8,August,3.4983,0.4995,0.0,0.4995
East Anglia,2055,9,September,3.1148,1.5266,0.1507,1.376
East Anglia,2055,10,October,3.0107,3.7141,1.2689,2.4452
East Anglia,2055,11,November,3.0363,7.2963,4.4291,2.8672
East Anglia,2055,12,December,3.0447,7.9269,4.9136,3.0133
East Anglia,2056,1,January,2.288,10.8351,8.5491,2.286
East Anglia,2056,2,February,1.9917,8.5252,6.5517,1.9734
East Anglia,2056,3,March,1.8847,7.4623,5.5825,1.8798
East Anglia,2056,4,April,2.201,5.5199,3.375,2.1448
East Anglia,2056,5,May,2.0886,3.006,1.2866,1.7193
East Anglia,2056,6,June,2.7007,1.2732,0.0932,1.18
East Anglia,2056,7,July,3.9323,0.5933,0.0,0.5933
East Anglia,2056,8,August,4.4096,0.4995,0.0,0.4995
East Anglia,2056,9,September,3.8643,1.5266,0.0651,1.4615
East Anglia,2056,10,October,3.2787,3.7141,1.1107,2.6034
East Anglia,2056,11,November,3.2735,7.2963,4.2205,3.0759
East Anglia,2056,12,December,2.041,7.9269,5.8964,2.0306
East Anglia,2057,1,January,1.884,10.8351,8.9523,1.8828
East Anglia,2057,2,February,2.5048,8.5252,6.0504,2.4748
East Anglia,2057,3,March,2.0597,7.4623,5.4089,2.0534
East Anglia,2057,4,April,2.0736,5.5199,3.4948,2.025
East Anglia,2057,5,May,2.6644,3.006,0.9329,2.0731
East Anglia,2057,6,June,3.6937,1.2732,0.0194,1.2537
East Anglia,2057,7,July,4.1987,0.5933,0.0,0.5933
East Anglia,2057,8,August,4.0425,0.4995,0.0,0.4995
East Anglia,2057,9,September,4.0353,1.5266,0.0528,1.4738
East Anglia,2057,10,October,3.296,3.7141,1.1009,2.6132
East Anglia,2057,11,November,3.2126,7.2963,4.2737,3.0226
East Anglia,2057,12,December,3.028,7.9269,4.9297,2.9972
East Anglia,2058,1,January,2.3313,10.8351,8.5059,2.3292
East Anglia,2058,2,February,2.3888,8.5252,6.1633,2.3619
East Anglia,2058,3,March,1.6357,7.4623,5.83,1.6323
East Anglia,2058,4,April,1.6288,5.5199,3.9191,1.6007
East Anglia,2058,5,May,2.8559,3.006,0.8298,2.1762
East Anglia,2058,6,June,2.7452,1.2732,0.0876,1.1856
East Anglia,2058,7,July,3.8964,0.5933,0.0,0.5933
East Anglia,2058,8,August,4.3628,0.4995,0.0,0.4995
East Anglia,2058,9,September,3.6369,1.5266,0.0851,1.4415
East Anglia,2058,10,October,3.8509,3.7141,0.8147,2.8993
East Anglia,2058,11,November,3.3659,7.2963,4.1401,3.1563
East Anglia,2058,12,December,2.6958,7.9269,5.253,2.6739
East Anglia,2059,1,January,2.1061,10.8351,8.7306,2.1046
East Anglia,2059,2,February,2.3508,8.5252,6.2004,2.3247
East Anglia,2059,3,March,2.806,7.4623,4.6728,2.7895
East Anglia,2059,4,April,2.3934,5.5199,3.196,2.3239
East Anglia,2059,5,May,2.5174,3.006,1.017,1.989
East Anglia,2059,6,June,2.9106,1.2732,0.069,1.2042
East Anglia,2059,7,July,3.9622,0.5933,0.0,0.5933
East Anglia,2059,8,August,3.9204,0.4995,0.0,0.4995
East Anglia,2059,9,September,4.1999,1.5266,0.0429,1.4837
East Anglia,2059,10,October,4.0133,3.7141,0.7412,2.9729
East Anglia,2059,11,November,2.969,7.2963,4.4889,2.8075
East Anglia,2059,12,December,2.8085,7.9269,5.1431,2.7839
East Anglia,2060,1,January,2.6799,10.8351,8.1583,2.6769
East Anglia,2060,2,February,2.6187,8.5252,5.9398,2.5854
East Anglia,2060,3,March,1.981,7.4623,5.4869,1.9754
East Anglia,2060,4,April,2.2169,5.5199,3.3602,2.1597
East Anglia,2060,5,May,2.7131,3.006,0.9059,2.1
East Anglia,2060,6,June,3.8751,1.2732,0.014,1.2592
East Anglia,2060,7,July,4.5069,0.5933,0.0,0.5933
East Anglia,2060,8,August,4.7989,0.4995,0.0,0.4995
East Anglia,2060,9,September,3.7223,1.5266,0.0771,1.4495
East Anglia,2060,10,October,3.4178,3.7141,1.0335,2.6806
East Anglia,2060,11,November,2.743,7.2963,4.6914,2.6049
East Anglia,2060,12,December,2.3548,7.9269,5.5872,2.3397
East Anglia,2061,1,January,2.5839,10.8351,8.254,2.5812
East Anglia,2061,2,February,2.0957,8.5252,6.4498,2.0754
East Anglia,2061,3,March,1.9929,7.4623,5.4751,1.9872
East Anglia,2061,4,April,2.3294,5.5199,3.2553,2.2645
East Anglia,2061,5,May,3.0207,3.006,0.747,2.259
East Anglia,2061,6,June,3.7197,1.2732,0.0185,1.2546
East Anglia,2061,7,July,3.6373,0.5933,0.0,0.5933
East Anglia,2061,8,August,4.1994,0.4995,0.0,0.4995
